directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872425000.0,520.760009765625,90.80000305175781,140.0,150.0,106.89255262725055,362.0,1.6979999542236328,90.80000305175781,104.19999694824219,354.0,-6.4338326174765825,75.0,362.0,-0.010999999940395355,362.0
0.0,1787872435000.0,535.5700073242188,92.19999694824219,140.0,152.0,106.89251130446792,372.0,1.6419999599456787,92.19999694824219,103.0,364.0,-6.4339598547667265,76.0,372.0,0.1459999978542328,372.0
0.5,1787872440000.0,543.4199829101562,92.80000305175781,140.0,153.0,106.89249051734805,377.0,1.6330000162124634,92.80000305175781,103.0,369.0,-6.434027915820479,76.0,377.0,0.09000000357627869,377.0
0.5,1787872448000.0,556.280029296875,93.19999694824219,140.0,153.0,106.8924565706402,385.0,1.6330000162124634,93.19999694824219,103.4000015258789,377.0,-6.434138137847185,76.0,385.0,0.061000000685453415,385.0
0.0,1787872449000.0,557.219970703125,93.19999694824219,140.0,152.0,106.8924499489367,386.0,1.6330000162124634,93.19999694824219,103.4000015258789,378.0,-6.434143502265215,76.0,386.0,0.0949999988079071,386.0
0.0,1787872455000.0,565.5800170898438,94.19999694824219,139.0,148.0,106.89242689870298,392.0,1.6239999532699585,94.19999694824219,102.4000015258789,384.0,-6.43421751447022,74.0,392.0,0.1379999965429306,392.0
0.5,1787872464000.0,581.7899780273438,96.0,137.0,153.0,106.89235975965858,401.0,1.6139999628067017,96.0,102.0,393.0,-6.4343468472361565,76.0,401.0,0.210999995470047,401.0
0.0,1787872472000.0,593.7899780273438,97.4000015258789,137.0,148.0,106.89228910021484,409.0,1.6419999599456787,97.4000015258789,103.4000015258789,401.0,-6.4344289898872375,74.0,409.0,0.18000000715255737,409.0
0.0,1787872477000.0,601.7000122070312,98.0,140.0,150.0,106.89224652014673,414.0,1.6419999599456787,98.0,105.5999984741211,406.0,-6.434486908838153,75.0,414.0,0.09200000017881393,414.0
0.0,1787872479000.0,605.1799926757812,98.19999694824219,141.0,148.0,106.89222288317978,416.0,1.6330000162124634,98.19999694824219,106.5999984741211,408.0,-6.434507695958018,74.0,416.0,0.12800000607967377,416.0
0.5,1787872485000.0,613.8400268554688,98.80000305175781,144.0,153.0,106.89216923899949,422.0,1.6330000162124634,98.80000305175781,108.19999694824219,414.0,-6.434565195813775,76.0,422.0,0.09700000286102295,422.0
0.0,1787872489000.0,620.0,99.19999694824219,144.0,152.0,106.89212867058814,426.0,1.6330000162124634,99.19999694824219,108.80000305175781,418.0,-6.434603584930301,76.0,426.0,0.10999999940395355,426.0
0.0,1787872498000.0,634.0599975585938,100.0,144.0,148.0,106.8920389842242,435.0,1.6330000162124634,100.0,109.5999984741211,427.0,-6.434693522751331,74.0,435.0,0.08500000089406967,435.0
0.5,1787872505000.0,645.8699951171875,100.0,143.0,155.0,106.89197729341686,442.0,1.6419999599456787,100.0,109.4000015258789,434.0,-6.434782287105918,77.0,442.0,0.007000000216066837,442.0
0.0,1787872512000.0,656.52001953125,100.0,140.0,152.0,106.89190688543022,449.0,1.6610000133514404,100.0,108.5999984741211,441.0,-6.434846743941307,76.0,449.0,-0.0020000000949949026,449.0
0.0,1787872514000.0,660.3800048828125,100.0,139.0,150.0,106.89188534393907,451.0,1.6610000133514404,100.0,108.4000015258789,443.0,-6.434874404221773,75.0,451.0,0.007000000216066837,451.0
0.0,1787872525000.0,678.3099975585938,100.19999694824219,139.0,148.0,106.89177897758782,462.0,1.6890000104904175,100.19999694824219,106.4000015258789,454.0,-6.434997031465173,74.0,462.0,0.019999999552965164,462.0
0.0,1787872536000.0,694.6900024414062,101.0,138.0,148.0,106.89167680218816,473.0,1.6890000104904175,101.0,106.0,465.0,-6.435103816911578,74.0,473.0,0.07500000298023224,473.0
0.0,1787872544000.0,709.8099975585938,101.80000305175781,137.0,152.0,106.89158250577748,481.0,1.6979999542236328,101.80000305175781,108.19999694824219,473.0,-6.4352006278932095,76.0,481.0,0.08900000154972076,481.0
0.0,1787872550000.0,719.469970703125,102.19999694824219,137.0,150.0,106.89151838421822,487.0,1.7170000076293945,102.19999694824219,109.5999984741211,479.0,-6.435257876291871,75.0,487.0,0.05999999865889549,487.0
0.0,1787872552000.0,722.239990234375,102.0,137.0,152.0,106.89149541780353,489.0,1.7170000076293945,102.0,109.5999984741211,481.0,-6.435267683118582,76.0,489.0,-0.04399999976158142,489.0
