directLongitude,directSpeed,directLatitude,sumDistance,sumElapsedDuration,directElevation,directHeartRate,directFractionalCadence,sumMovingDuration,directRunCadence,sumDuration,directDoubleCadence,directTimestamp,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
106.89199539832771,1.3250000476837158,-6.434763176366687,651.5700073242188,498.0,100.0,122.0,0.0,498.0,75.0,498.0,150.0,1786576759000.0,108.5999984741211,100.0,0.004999999888241291,498.0
106.89195323735476,1.3250000476837158,-6.434803744778037,658.02001953125,503.0,100.0,122.0,0.5,503.0,74.0,503.0,149.0,1786576764000.0,107.80000305175781,100.0,0.0,503.0
106.8919078912586,1.3339999914169312,-6.43486937507987,666.7899780273438,509.0,100.0,125.0,0.5,509.0,74.0,509.0,149.0,1786576770000.0,107.19999694824219,100.0,0.0,509.0
106.89186070114374,1.3530000448226929,-6.434918409213424,674.3400268554688,515.0,100.0,126.0,0.5,515.0,74.0,515.0,149.0,1786576776000.0,107.0,100.0,0.0,515.0
106.89179758541286,1.3530000448226929,-6.434984961524606,684.4400024414062,523.0,100.0,125.0,0.0,523.0,75.0,523.0,150.0,1786576784000.0,105.4000015258789,100.0,0.004999999888241291,523.0
106.89173564314842,1.3530000448226929,-6.435056626796722,694.9099731445312,530.0,100.80000305175781,128.0,0.5,530.0,73.0,530.0,147.0,1786576791000.0,104.80000305175781,100.80000305175781,0.10599999874830246,530.0
106.89171653240919,1.3530000448226929,-6.435067942366004,697.2899780273438,532.0,100.80000305175781,130.0,0.5,532.0,73.0,532.0,147.0,1786576793000.0,105.0,100.80000305175781,0.013000000268220901,532.0
106.89162936061621,1.3530000448226929,-6.4351611491292715,711.4199829101562,543.0,101.5999984741211,126.0,0.0,543.0,72.0,543.0,144.0,1786576804000.0,105.80000305175781,101.5999984741211,0.06499999761581421,543.0
106.89161117188632,1.3530000448226929,-6.435176655650139,714.0700073242188,545.0,101.5999984741211,125.0,0.5,545.0,72.0,545.0,145.0,1786576806000.0,106.19999694824219,101.5999984741211,0.04600000008940697,545.0
106.89160563983023,1.3530000448226929,-6.435184283182025,715.0999755859375,546.0,101.5999984741211,125.0,0.5,546.0,72.0,546.0,145.0,1786576807000.0,106.19999694824219,101.5999984741211,0.07000000029802322,546.0
106.89155266620219,1.3339999914169312,-6.4352270308882,722.719970703125,552.0,102.0,123.0,0.5,552.0,71.0,552.0,143.0,1786576813000.0,105.5999984741211,102.0,0.039000000804662704,552.0
106.89146809279919,1.315999984741211,-6.435270952060819,733.280029296875,560.0,101.5999984741211,125.0,0.0,560.0,73.0,560.0,146.0,1786576821000.0,104.19999694824219,101.5999984741211,-0.028999999165534973,560.0
106.89134890213609,1.2879999876022339,-6.4353095926344395,747.0700073242188,572.0,100.4000015258789,125.0,0.5,572.0,70.0,572.0,141.0,1786576833000.0,105.80000305175781,100.4000015258789,-0.1080000028014183,572.0
106.89126575365663,1.2690000534057617,-6.435347897931933,757.2000122070312,580.0,99.5999984741211,128.0,0.0,580.0,72.0,580.0,144.0,1786576841000.0,106.80000305175781,99.5999984741211,-0.09799999743700027,580.0
106.89125452190638,1.2690000534057617,-6.435351083055139,758.489990234375,581.0,99.4000015258789,128.0,0.0,581.0,72.0,581.0,144.0,1786576842000.0,107.0,99.4000015258789,-0.12700000405311584,581.0
106.89112770371139,1.2599999904632568,-6.4353961776942015,773.3900146484375,593.0,97.80000305175781,128.0,0.5,593.0,71.0,593.0,143.0,1786576854000.0,105.80000305175781,97.80000305175781,-0.13899999856948853,593.0
106.89105126075447,1.25,-6.43542199395597,782.4000244140625,599.0,96.80000305175781,124.0,0.0,599.0,72.0,599.0,144.0,1786576860000.0,105.5999984741211,96.80000305175781,-0.17900000512599945,599.0
106.89100909978151,1.2599999904632568,-6.435443200170994,787.6099853515625,603.0,96.19999694824219,121.0,0.5,603.0,72.0,603.0,145.0,1786576864000.0,106.0,96.19999694824219,-0.11400000005960464,603.0
106.8910008855164,1.2599999904632568,-6.435446552932262,788.5900268554688,604.0,96.19999694824219,121.0,0.5,604.0,72.0,604.0,145.0,1786576865000.0,106.19999694824219,96.19999694824219,-0.09399999678134918,604.0
106.89091941341758,1.25,-6.435482930392027,798.469970703125,612.0,95.5999984741211,117.0,0.5,612.0,73.0,612.0,147.0,1786576873000.0,107.4000015258789,95.5999984741211,-0.08399999886751175,612.0
106.89090667292476,1.2410000562667847,-6.435488210991025,799.989990234375,613.0,95.5999984741211,117.0,0.5,613.0,73.0,613.0,147.0,1786576874000.0,107.4000015258789,95.5999984741211,-0.00800000037997961,613.0
106.89084238372743,1.25,-6.435511009767652,807.5399780273438,618.0,95.4000015258789,120.0,0.5,618.0,72.0,618.0,145.0,1786576879000.0,107.4000015258789,95.4000015258789,-0.013000000268220901,618.0
106.89076610840857,1.277999997138977,-6.435532970353961,816.3099975585938,624.0,95.4000015258789,121.0,0.0,624.0,75.0,624.0,150.0,1786576885000.0,106.4000015258789,95.4000015258789,-0.01899999938905239,624.0
106.89066829159856,1.315999984741211,-6.43557789735496,828.1500244140625,633.0,95.19999694824219,124.0,0.5,633.0,73.0,633.0,147.0,1786576894000.0,105.5999984741211,95.19999694824219,-0.01899999938905239,633.0
106.8906451575458,1.3250000476837158,-6.435586949810386,830.8800048828125,635.0,95.19999694824219,124.0,0.0,635.0,74.0,635.0,148.0,1786576896000.0,105.5999984741211,95.19999694824219,0.008999999612569809,635.0
106.89051951281726,1.305999994277954,-6.435633217915893,845.6900024414062,647.0,95.19999694824219,125.0,0.0,647.0,74.0,647.0,148.0,1786576908000.0,104.80000305175781,95.19999694824219,-0.0010000000474974513,647.0
106.89037593081594,1.2970000505447388,-6.435693651437759,862.9600219726562,661.0,95.19999694824219,123.0,0.5,661.0,72.0,661.0,145.0,1786576922000.0,104.80000305175781,95.19999694824219,-0.0010000000474974513,661.0
106.89025154337287,1.277999997138977,-6.435784762725234,880.0700073242188,675.0,96.19999694824219,122.0,0.5,675.0,73.0,675.0,147.0,1786576936000.0,104.80000305175781,96.19999694824219,0.07900000363588333,675.0
106.89022304490209,1.277999997138977,-6.435844609513879,887.4000244140625,680.0,96.80000305175781,119.0,0.5,680.0,71.0,680.0,143.0,1786576941000.0,104.5999984741211,96.80000305175781,0.10700000077486038,680.0
106.89020074903965,1.2879999876022339,-6.435898756608367,893.8900146484375,685.0,97.19999694824219,116.0,0.5,685.0,73.0,685.0,147.0,1786576946000.0,105.0,97.19999694824219,0.09399999678134918,685.0
106.89019203186035,1.2879999876022339,-6.435912251472473,895.6599731445312,686.0,97.4000015258789,116.0,0.5,686.0,73.0,686.0,147.0,1786576947000.0,105.0,97.4000015258789,0.1289999932050705,686.0
106.8901287484914,1.3619999885559082,-6.436034040525556,910.77001953125,696.0,98.4000015258789,117.0,0.0,696.0,80.0,696.0,160.0,1786576957000.0,106.19999694824219,98.4000015258789,0.10999999940395355,696.0
106.89009538851678,1.4279999732971191,-6.436154656112194,924.3599853515625,705.0,98.80000305175781,120.0,0.0,705.0,78.0,705.0,156.0,1786576966000.0,106.4000015258789,98.80000305175781,0.03999999910593033,705.0
106.89008281566203,1.437000036239624,-6.436196397989988,929.1900024414062,708.0,98.80000305175781,123.0,0.5,708.0,77.0,708.0,155.0,1786576969000.0,106.4000015258789,98.80000305175781,-0.04500000178813934,708.0
106.89004979096353,1.4739999771118164,-6.436327323317528,943.9500122070312,717.0,98.4000015258789,124.0,0.0,717.0,75.0,717.0,150.0,1786576978000.0,106.0,98.4000015258789,-0.03999999910593033,717.0
106.89001961611211,1.465000033378601,-6.436421452090144,954.72998046875,725.0,97.80000305175781,124.0,0.5,725.0,74.0,725.0,149.0,1786576986000.0,105.80000305175781,97.80000305175781,-0.06300000101327896,725.0
106.88998986035585,1.4459999799728394,-6.4365463424474,968.6400146484375,735.0,97.19999694824219,126.0,0.5,735.0,73.0,735.0,147.0,1786576996000.0,107.19999694824219,97.19999694824219,-0.05700000002980232,735.0
106.8899566680193,1.399999976158142,-6.4366354420781136,979.1400146484375,744.0,96.80000305175781,128.0,0.0,744.0,72.0,744.0,144.0,1786577005000.0,109.19999694824219,96.80000305175781,-0.05299999937415123,744.0
106.88991945236921,1.371999979019165,-6.436742814257741,991.6300048828125,753.0,96.5999984741211,126.0,0.5,753.0,74.0,753.0,149.0,1786577014000.0,109.5999984741211,96.5999984741211,-0.02199999988079071,753.0
106.88988123089075,1.3530000448226929,-6.436835769563913,1002.7999877929688,762.0,96.4000015258789,125.0,0.5,762.0,71.0,762.0,143.0,1786577023000.0,109.0,96.4000015258789,-0.024000000208616257,762.0
106.88981669023633,1.2879999876022339,-6.436936939135194,1016.1300048828125,773.0,96.0,124.0,0.0,773.0,73.0,773.0,146.0,1786577034000.0,107.19999694824219,96.0,-0.03799999877810478,773.0
106.88973035663366,1.277999997138977,-6.437023105099797,1029.6199951171875,783.0,96.19999694824219,122.0,0.5,783.0,72.0,783.0,145.0,1786577044000.0,107.4000015258789,96.19999694824219,0.03099999949336052,783.0
106.8896353058517,1.2970000505447388,-6.437098290771246,1043.030029296875,792.0,96.19999694824219,123.0,0.0,792.0,73.0,792.0,146.0,1786577053000.0,109.80000305175781,96.19999694824219,-0.0020000000949949026,792.0
106.88953983597457,1.3250000476837158,-6.437192922458053,1057.9599609375,802.0,96.5999984741211,123.0,0.5,802.0,73.0,802.0,147.0,1786577063000.0,111.19999694824219,96.5999984741211,0.03700000047683716,802.0
106.88948719762266,1.38100004196167,-6.437322087585926,1073.4300537109375,812.0,97.19999694824219,122.0,0.5,812.0,74.0,812.0,149.0,1786577073000.0,111.80000305175781,97.19999694824219,0.04899999871850014,812.0
106.88944042660296,1.4279999732971191,-6.437492072582245,1092.989990234375,825.0,97.80000305175781,125.0,0.0,825.0,76.0,825.0,152.0,1786577086000.0,111.0,97.80000305175781,0.04699999839067459,825.0
106.88943849876523,1.4279999732971191,-6.437503723427653,1094.300048828125,826.0,97.5999984741211,125.0,0.0,826.0,76.0,826.0,152.0,1786577087000.0,111.0,97.5999984741211,-0.06300000101327896,826.0
106.88943296670914,1.437000036239624,-6.437514033168554,1095.5799560546875,827.0,97.5999984741211,126.0,0.0,827.0,76.0,827.0,152.0,1786577088000.0,111.0,97.5999984741211,-0.09700000286102295,827.0
106.88940664753318,1.4459999799728394,-6.4375893864780664,1104.4599609375,833.0,97.0,127.0,0.0,833.0,76.0,833.0,152.0,1786577094000.0,110.0,97.0,-0.09300000220537186,833.0
106.88936448656023,1.4459999799728394,-6.43773565068841,1121.280029296875,845.0,96.19999694824219,127.0,0.5,845.0,73.0,845.0,147.0,1786577106000.0,109.0,96.19999694824219,-0.06199999898672104,845.0
106.88933104276657,1.4279999732971191,-6.437835227698088,1132.8900146484375,854.0,95.5999984741211,128.0,0.0,854.0,73.0,854.0,146.0,1786577115000.0,109.80000305175781,95.5999984741211,-0.08299999684095383,854.0
106.88930816017091,1.4179999828338623,-6.4378944877535105,1139.9200439453125,860.0,95.0,125.0,0.5,860.0,73.0,860.0,147.0,1786577121000.0,109.5999984741211,95.0,-0.09000000357627869,860.0
106.88929231837392,1.409000039100647,-6.437957100570202,1147.030029296875,865.0,94.5999984741211,125.0,0.5,865.0,73.0,865.0,147.0,1786577126000.0,109.4000015258789,94.5999984741211,-0.09099999815225601,865.0
106.88927815295756,1.399999976158142,-6.438015690073371,1153.6800537109375,870.0,94.19999694824219,129.0,0.5,870.0,73.0,870.0,147.0,1786577131000.0,109.0,94.19999694824219,-0.08299999684095383,870.0
106.88925040885806,1.3899999856948853,-6.438067322596908,1160.1600341796875,875.0,94.0,129.0,0.5,875.0,74.0,875.0,149.0,1786577136000.0,109.0,94.0,-0.023000000044703484,875.0
106.88922844827175,1.38100004196167,-6.438131192699075,1167.56005859375,881.0,94.19999694824219,126.0,0.0,881.0,73.0,881.0,146.0,1786577142000.0,108.5999984741211,94.19999694824219,0.02500000037252903,881.0
106.88920355401933,1.371999979019165,-6.438204115256667,1176.0799560546875,887.0,94.4000015258789,126.0,0.0,887.0,72.0,887.0,144.0,1786577148000.0,108.4000015258789,94.4000015258789,0.028999999165534973,887.0
106.88915443606675,1.3619999885559082,-6.438337890431285,1191.8599853515625,899.0,94.5999984741211,124.0,0.5,899.0,73.0,899.0,147.0,1786577160000.0,109.0,94.5999984741211,0.02500000037252903,899.0
106.88913708552718,1.3619999885559082,-6.438394719734788,1198.4200439453125,904.0,94.80000305175781,121.0,0.5,904.0,74.0,904.0,149.0,1786577165000.0,109.5999984741211,94.80000305175781,0.02800000086426735,904.0
106.889126021415,1.3530000448226929,-6.438430342823267,1202.5400390625,907.0,94.80000305175781,121.0,0.5,907.0,73.0,907.0,147.0,1786577168000.0,109.80000305175781,94.80000305175781,0.028999999165534973,907.0
106.8890877161175,1.3619999885559082,-6.438557077199221,1217.219970703125,917.0,95.4000015258789,121.0,0.0,917.0,73.0,917.0,146.0,1786577178000.0,110.5999984741211,95.4000015258789,0.050999999046325684,917.0
106.8890480697155,1.38100004196167,-6.438670484349132,1230.47998046875,927.0,96.19999694824219,120.0,0.0,927.0,72.0,927.0,144.0,1786577188000.0,111.4000015258789,96.19999694824219,0.08100000023841858,927.0
106.8890063278377,1.3899999856948853,-6.438819346949458,1247.5899658203125,939.0,97.5999984741211,121.0,0.5,939.0,77.0,939.0,155.0,1786577200000.0,111.19999694824219,97.5999984741211,0.10899999737739563,939.0
106.88897816464305,1.409000039100647,-6.438898891210556,1256.9300537109375,946.0,98.19999694824219,124.0,0.0,946.0,76.0,946.0,152.0,1786577207000.0,110.4000015258789,98.19999694824219,0.09700000286102295,946.0
