directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.431677546352148,152.0,0.0,182.0,1789513425000.0,76.0,182.0,173.0,265.3699951171875,106.89304925501347,110.4000015258789,1.409000039100647,87.5999984741211,87.5999984741211,117.0,0.008999999612569809,182.0
-6.431785002350807,152.0,0.0,190.0,1789513433000.0,76.0,190.0,181.0,277.95001220703125,106.89301053062081,109.0,1.4279999732971191,87.19999694824219,87.19999694824219,116.0,-0.06199999898672104,190.0
-6.431892290711403,152.0,0.0,199.0,1789513442000.0,76.0,199.0,190.0,290.42999267578125,106.89297423698008,107.0,1.409000039100647,86.80000305175781,86.80000305175781,114.0,-0.03500000014901161,199.0
-6.432027239352465,152.0,0.0,210.0,1789513453000.0,76.0,210.0,201.0,306.5799865722656,106.89292034134269,104.4000015258789,1.4279999732971191,87.19999694824219,87.19999694824219,114.0,0.03999999910593033,210.0
-6.432180628180504,155.0,0.5,222.0,1789513465000.0,77.0,222.0,213.0,324.5199890136719,106.89286828972399,104.80000305175781,1.4279999732971191,88.0,88.0,114.0,0.06700000166893005,222.0
-6.432285401970148,153.0,0.5,230.0,1789513473000.0,76.0,230.0,221.0,336.9599914550781,106.89282780513167,105.0,1.4279999732971191,88.19999694824219,88.19999694824219,114.0,0.029999999329447746,230.0
-6.432370478287339,153.0,0.5,236.0,1789513479000.0,76.0,236.0,227.0,346.67999267578125,106.89280492253602,104.5999984741211,1.437000036239624,88.5999984741211,88.5999984741211,117.0,0.050999999046325684,236.0
-6.432409370318055,153.0,0.5,239.0,1789513482000.0,76.0,239.0,230.0,351.32000732421875,106.89278933219612,104.19999694824219,1.4459999799728394,88.80000305175781,88.80000305175781,116.0,0.04699999839067459,239.0
-6.432488244026899,153.0,0.5,246.0,1789513489000.0,76.0,246.0,237.0,360.82000732421875,106.89275454729795,103.80000305175781,1.4459999799728394,89.0,89.0,116.0,0.04399999976158142,246.0
-6.432510120794177,155.0,0.5,248.0,1789513491000.0,77.0,248.0,239.0,363.67999267578125,106.8927401304245,103.80000305175781,1.4459999799728394,89.19999694824219,89.19999694824219,117.0,0.07900000363588333,248.0
-6.432569799944758,155.0,0.5,252.0,1789513495000.0,77.0,252.0,243.0,370.760009765625,106.89271733164787,104.19999694824219,1.437000036239624,89.5999984741211,89.5999984741211,118.0,0.10700000077486038,252.0
-6.4325957000255585,154.0,0.0,254.0,1789513497000.0,77.0,254.0,245.0,373.7099914550781,106.89271003939211,104.4000015258789,1.437000036239624,89.80000305175781,89.80000305175781,118.0,0.09300000220537186,254.0
-6.43273551017046,155.0,0.5,264.0,1789513507000.0,77.0,264.0,255.0,390.2300109863281,106.89265823923051,106.0,1.4739999771118164,91.19999694824219,91.19999694824219,119.0,0.12800000607967377,264.0
-6.432779598981142,155.0,0.5,268.0,1789513511000.0,77.0,268.0,259.0,395.489990234375,106.89263963140547,106.80000305175781,1.4839999675750732,91.4000015258789,91.4000015258789,122.0,0.07400000095367432,268.0
-6.432850761339068,155.0,0.5,273.0,1789513516000.0,77.0,273.0,264.0,403.5899963378906,106.89262169413269,106.19999694824219,1.4839999675750732,91.4000015258789,91.4000015258789,123.0,0.012000000104308128,273.0
-6.432918068021536,155.0,0.5,278.0,1789513521000.0,77.0,278.0,269.0,411.5799865722656,106.89259520731866,105.19999694824219,1.4839999675750732,91.4000015258789,91.4000015258789,120.0,0.0010000000474974513,278.0
-6.432990655303001,154.0,0.0,283.0,1789513526000.0,77.0,283.0,274.0,419.8599853515625,106.89257819205523,105.4000015258789,1.5019999742507935,91.5999984741211,91.5999984741211,119.0,0.02800000086426735,283.0
