directCorrectedElevation,directUncorrectedElevation,directTimestamp,directSpeed,sumMovingDuration,directHeartRate,directRunCadence,directDoubleCadence,sumDuration,directLongitude,directFractionalCadence,sumElapsedDuration,directLatitude,sumDistance,directElevation,directVerticalSpeed,elapsed_s
88.4000015258789,94.4000015258789,1787700661000.0,1.371999979019165,233.0,119.0,72.0,144.0,233.0,106.89282562583685,0.0,233.0,-6.432338040322065,350.0,88.4000015258789,0.04899999871850014,233.0
89.19999694824219,96.19999694824219,1787700671000.0,1.4279999732971191,243.0,119.0,77.0,155.0,243.0,106.8927813693881,0.5,243.0,-6.43250978551805,369.6300048828125,89.19999694824219,0.07199999690055847,243.0
89.80000305175781,98.5999984741211,1787700678000.0,1.4839999675750732,250.0,122.0,76.0,153.0,250.0,106.89273962751031,0.5,250.0,-6.432604501023889,381.0899963378906,89.80000305175781,0.09700000286102295,250.0
90.4000015258789,98.0,1787700682000.0,1.5119999647140503,254.0,124.0,76.0,153.0,254.0,106.89272856339812,0.5,254.0,-6.432658648118377,387.2900085449219,90.4000015258789,0.14900000393390656,254.0
92.0,98.5999984741211,1787700691000.0,1.5859999656677246,263.0,127.0,76.0,152.0,263.0,106.89268363639712,0.0,263.0,-6.4327894896268845,402.6000061035156,92.0,0.1589999943971634,263.0
91.80000305175781,98.80000305175781,1787700692000.0,1.5859999656677246,264.0,127.0,75.0,150.0,264.0,106.8926759250462,0.0,264.0,-6.432807678356767,404.7799987792969,91.80000305175781,-0.017999999225139618,264.0
91.80000305175781,100.4000015258789,1787700702000.0,1.5770000219345093,274.0,128.0,75.0,151.0,274.0,106.89263200387359,0.5,274.0,-6.432921336963773,418.2200012207031,91.80000305175781,-0.007000000216066837,274.0
91.80000305175781,100.0,1787700711000.0,1.6050000190734863,283.0,127.0,77.0,155.0,283.0,106.89258716069162,0.5,283.0,-6.433052346110344,433.69000244140625,91.80000305175781,-0.004999999888241291,283.0
91.4000015258789,100.0,1787700721000.0,1.6610000133514404,293.0,126.0,79.0,159.0,293.0,106.89259596168995,0.5,293.0,-6.433194251731038,449.4200134277344,91.4000015258789,-0.04500000178813934,293.0
91.4000015258789,100.0,1787700722000.0,1.6610000133514404,294.0,126.0,79.0,159.0,294.0,106.89259914681315,0.5,294.0,-6.433206154033542,450.739990234375,91.4000015258789,-0.019999999552965164,294.0
91.0,100.0,1787700727000.0,1.6519999504089355,299.0,129.0,78.0,156.0,299.0,106.89259621314704,0.0,299.0,-6.43327153287828,458.0400085449219,91.0,-0.050999999046325684,299.0
91.0,100.4000015258789,1787700732000.0,1.6330000162124634,304.0,132.0,76.0,152.0,304.0,106.89259537495673,0.0,304.0,-6.4333446230739355,466.1300048828125,91.0,-0.03200000151991844,304.0
91.0,101.0,1787700735000.0,1.6239999532699585,307.0,132.0,77.0,155.0,307.0,106.8925971351564,0.5,307.0,-6.433380832895637,470.1499938964844,91.0,0.004000000189989805,307.0
91.0,102.5999984741211,1787700743000.0,1.6139999628067017,315.0,131.0,75.0,150.0,315.0,106.89259881153703,0.0,315.0,-6.433485858142376,481.8399963378906,91.0,0.0020000000949949026,315.0
91.0,102.80000305175781,1787700752000.0,1.5299999713897705,324.0,130.0,73.0,147.0,324.0,106.89260467886925,0.5,324.0,-6.433584429323673,492.7099914550781,91.0,0.004999999888241291,324.0
91.0,105.4000015258789,1787700766000.0,1.4279999732971191,338.0,128.0,71.0,142.0,338.0,106.89258640632033,0.0,338.0,-6.433763550594449,512.7100219726562,91.0,-0.004000000189989805,338.0
91.0,105.5999984741211,1787700768000.0,1.4279999732971191,340.0,128.0,71.0,142.0,340.0,106.89258431084454,0.0,340.0,-6.433785175904632,515.1199951171875,91.0,-0.004000000189989805,340.0
91.19999694824219,105.80000305175781,1787700778000.0,1.3899999856948853,350.0,129.0,69.0,139.0,350.0,106.89255455508828,0.5,350.0,-6.433893050998449,527.5,91.19999694824219,0.029999999329447746,350.0
92.19999694824219,105.4000015258789,1787700785000.0,1.3619999885559082,357.0,126.0,69.0,138.0,357.0,106.89252991229296,0.0,357.0,-6.433972176164389,536.6599731445312,92.19999694824219,0.13300000131130219,357.0
92.4000015258789,105.4000015258789,1787700792000.0,1.3530000448226929,364.0,126.0,70.0,141.0,364.0,106.892508873716,0.5,364.0,-6.434055240824819,546.1400146484375,92.4000015258789,0.0430000014603138,364.0
92.80000305175781,105.80000305175781,1787700801000.0,1.343999981880188,373.0,126.0,71.0,142.0,373.0,106.89248372800648,0.0,373.0,-6.434157248586416,557.8900146484375,92.80000305175781,0.04699999839067459,373.0
94.19999694824219,106.4000015258789,1787700812000.0,1.3339999914169312,384.0,126.0,69.0,139.0,384.0,106.8924346100539,0.5,384.0,-6.434257328510284,570.2999877929688,94.19999694824219,0.12999999523162842,384.0
95.5999984741211,105.5999984741211,1787700819000.0,1.305999994277954,391.0,126.0,70.0,141.0,391.0,106.89238725230098,0.5,391.0,-6.434334609657526,580.3699951171875,95.5999984741211,0.1770000010728836,391.0
97.19999694824219,107.0,1787700829000.0,1.3250000476837158,401.0,126.0,69.0,139.0,401.0,106.89231273718178,0.5,401.0,-6.4344225358217955,593.1500244140625,97.19999694824219,0.164000004529953,401.0
98.4000015258789,107.80000305175781,1787700841000.0,1.371999979019165,413.0,125.0,76.0,152.0,413.0,106.8922097235918,0.0,413.0,-6.434552203863859,611.489990234375,98.4000015258789,0.0949999988079071,413.0
99.4000015258789,107.0,1787700853000.0,1.4459999799728394,425.0,125.0,75.0,150.0,425.0,106.89210243523121,0.0,425.0,-6.4346846379339695,630.4000244140625,99.4000015258789,0.09700000286102295,425.0
100.0,108.19999694824219,1787700862000.0,1.437000036239624,434.0,126.0,71.0,143.0,434.0,106.89202875830233,0.5,434.0,-6.434774994850159,643.27001953125,100.0,0.05900000035762787,434.0
100.0,107.4000015258789,1787700872000.0,1.4279999732971191,444.0,125.0,72.0,144.0,444.0,106.89194141887128,0.0,444.0,-6.434862837195396,657.1099853515625,100.0,0.0,444.0
100.0,107.19999694824219,1787700882000.0,1.4179999828338623,454.0,123.0,72.0,144.0,454.0,106.89185349270701,0.0,454.0,-6.43494414165616,670.3599853515625,100.0,0.0,454.0
100.5999984741211,107.0,1787700891000.0,1.399999976158142,463.0,126.0,71.0,143.0,463.0,106.89177528955042,0.5,463.0,-6.4350301399827,683.22998046875,100.5999984741211,0.07699999958276749,463.0
100.80000305175781,107.0,1787700892000.0,1.399999976158142,464.0,127.0,72.0,144.0,464.0,106.89176615327597,0.0,464.0,-6.435039779171348,684.7000122070312,100.80000305175781,0.0729999989271164,464.0
101.0,107.0,1787700894000.0,1.399999976158142,466.0,130.0,73.0,147.0,466.0,106.8917469587177,0.5,466.0,-6.435060063377023,687.760009765625,101.0,0.07699999958276749,466.0
101.4000015258789,108.4000015258789,1787700903000.0,1.399999976158142,475.0,127.0,72.0,144.0,475.0,106.8916639778763,0.0,475.0,-6.435133907943964,700.0599975585938,101.4000015258789,0.052000001072883606,475.0
101.4000015258789,108.5999984741211,1787700904000.0,1.3899999856948853,476.0,126.0,71.0,143.0,476.0,106.8916541710496,0.5,476.0,-6.435142792761326,701.52001953125,101.4000015258789,0.05700000002980232,476.0
101.5999984741211,108.5999984741211,1787700907000.0,1.3899999856948853,479.0,123.0,72.0,144.0,479.0,106.89162676222622,0.0,479.0,-6.4351720456033945,705.9500122070312,101.5999984741211,0.07500000298023224,479.0
102.0,108.19999694824219,1787700914000.0,1.399999976158142,486.0,122.0,73.0,146.0,486.0,106.89156188629568,0.0,486.0,-6.435230635106564,715.6699829101562,102.0,0.05400000140070915,486.0
101.5999984741211,108.0,1787700925000.0,1.409000039100647,497.0,125.0,71.0,143.0,497.0,106.89143582247198,0.5,497.0,-6.435301210731268,731.6400146484375,101.5999984741211,-0.04399999976158142,497.0
101.4000015258789,108.0,1787700927000.0,1.409000039100647,499.0,126.0,71.0,143.0,499.0,106.89141411334276,0.5,499.0,-6.435310933738947,734.239990234375,101.4000015258789,-0.10400000214576721,499.0
100.5999984741211,107.19999694824219,1787700933000.0,1.409000039100647,505.0,129.0,73.0,146.0,505.0,106.89134253188968,0.0,505.0,-6.435340689495206,742.8200073242188,100.5999984741211,-0.11800000071525574,505.0
100.19999694824219,106.5999984741211,1787700937000.0,1.4179999828338623,509.0,128.0,73.0,147.0,509.0,106.89129198901355,0.5,509.0,-6.435369187965989,749.22998046875,100.19999694824219,-0.10499999672174454,509.0
100.0,106.5999984741211,1787700938000.0,1.4179999828338623,510.0,128.0,73.0,147.0,510.0,106.89127949997783,0.5,510.0,-6.435370361432433,750.6099853515625,100.0,-0.16699999570846558,510.0
99.5999984741211,106.19999694824219,1787700942000.0,1.4179999828338623,514.0,125.0,74.0,149.0,514.0,106.8912308011204,0.5,514.0,-6.435389639809728,756.3900146484375,99.5999984741211,-0.12300000339746475,514.0
99.4000015258789,106.19999694824219,1787700943000.0,1.4179999828338623,515.0,125.0,74.0,149.0,515.0,106.89121990464628,0.5,515.0,-6.43539366312325,757.6599731445312,99.4000015258789,-0.11299999803304672,515.0
97.5999984741211,106.19999694824219,1787700953000.0,1.409000039100647,525.0,123.0,74.0,149.0,525.0,106.89109794795513,0.5,525.0,-6.43542543053627,771.4600219726562,97.5999984741211,-0.1850000023841858,525.0
96.0,105.19999694824219,1787700963000.0,1.3899999856948853,535.0,123.0,73.0,147.0,535.0,106.89097347669303,0.5,535.0,-6.435475051403046,786.280029296875,96.0,-0.1589999943971634,535.0
95.5999984741211,105.0,1787700971000.0,1.3899999856948853,543.0,122.0,75.0,150.0,543.0,106.89087758772075,0.0,543.0,-6.435504890978336,797.4299926757812,95.5999984741211,-0.05900000035762787,543.0
95.4000015258789,105.19999694824219,1787700980000.0,1.38100004196167,552.0,122.0,76.0,152.0,552.0,106.8907664436847,0.0,552.0,-6.435553589835763,810.8699951171875,95.4000015258789,-0.012000000104308128,552.0
95.19999694824219,105.5999984741211,1787700991000.0,1.4179999828338623,563.0,124.0,79.0,158.0,563.0,106.89061900600791,0.0,563.0,-6.435608323663473,828.2899780273438,95.19999694824219,-0.01600000075995922,563.0
95.19999694824219,107.4000015258789,1787701000000.0,1.409000039100647,572.0,126.0,79.0,159.0,572.0,106.89050115644932,0.5,572.0,-6.435646042227745,842.02001953125,95.19999694824219,-0.007000000216066837,572.0
95.19999694824219,107.4000015258789,1787701009000.0,1.437000036239624,581.0,127.0,80.0,160.0,581.0,106.89038163051009,0.0,581.0,-6.435700273141265,856.5399780273438,95.19999694824219,-0.0010000000474974513,581.0
96.19999694824219,108.19999694824219,1787701020000.0,1.465000033378601,592.0,127.0,76.0,152.0,592.0,106.89026420004666,0.0,592.0,-6.435793563723564,873.1500244140625,96.19999694824219,0.0989999994635582,592.0
97.19999694824219,108.5999984741211,1787701028000.0,1.4559999704360962,600.0,128.0,77.0,155.0,600.0,106.89021256752312,0.5,600.0,-6.435894146561623,885.7100219726562,97.19999694824219,0.11400000005960464,600.0
98.4000015258789,108.0,1787701039000.0,1.4739999771118164,611.0,128.0,77.0,155.0,611.0,106.89015791751444,0.5,611.0,-6.4360258262604475,901.4000244140625,98.4000015258789,0.10400000214576721,611.0
98.80000305175781,107.0,1787701044000.0,1.465000033378601,616.0,125.0,75.0,150.0,616.0,106.89014224335551,0.0,616.0,-6.436083493754268,907.9400024414062,98.80000305175781,0.1120000034570694,616.0
99.0,106.4000015258789,1787701047000.0,1.4459999799728394,619.0,124.0,77.0,155.0,619.0,106.89013436436653,0.5,619.0,-6.436123391613364,912.4099731445312,99.0,0.035999998450279236,619.0
98.80000305175781,106.5999984741211,1787701057000.0,1.409000039100647,629.0,123.0,75.0,150.0,629.0,106.89009211957455,0.0,629.0,-6.436249120160937,927.2000122070312,98.80000305175781,-0.017999999225139618,629.0
98.4000015258789,107.4000015258789,1787701066000.0,1.4559999704360962,638.0,123.0,82.0,164.0,638.0,106.89005054533482,0.0,638.0,-6.436374094337225,941.72998046875,98.4000015258789,-0.050999999046325684,638.0
97.5999984741211,107.0,1787701074000.0,1.5299999713897705,646.0,126.0,78.0,157.0,646.0,106.89001391641796,0.5,646.0,-6.436492865905166,955.4500122070312,97.5999984741211,-0.09099999815225601,646.0
97.5999984741211,107.0,1787701076000.0,1.5399999618530273,648.0,127.0,79.0,159.0,648.0,106.8900045286864,0.5,648.0,-6.4365200232714415,958.6300048828125,97.5999984741211,-0.06800000369548798,648.0
96.5999984741211,106.4000015258789,1787701088000.0,1.6050000190734863,660.0,129.0,78.0,157.0,660.0,106.8899233918637,0.5,660.0,-6.436699144542217,980.3900146484375,96.5999984741211,-0.0820000022649765,660.0
96.5999984741211,106.4000015258789,1787701089000.0,1.6050000190734863,661.0,129.0,78.0,157.0,661.0,106.88991869799793,0.5,661.0,-6.436713477596641,982.0499877929688,96.5999984741211,-0.01600000075995922,661.0
96.4000015258789,107.0,1787701093000.0,1.6239999532699585,665.0,132.0,80.0,161.0,665.0,106.8899009283632,0.5,665.0,-6.436775755137205,989.239990234375,96.4000015258789,-0.00800000037997961,665.0
96.4000015258789,107.19999694824219,1787701097000.0,1.6419999599456787,669.0,133.0,81.0,163.0,669.0,106.88987670466304,0.5,669.0,-6.436828728765249,995.7000122070312,96.4000015258789,-0.03999999910593033,669.0
96.0,107.19999694824219,1787701100000.0,1.6419999599456787,672.0,133.0,80.0,161.0,672.0,106.88985063694417,0.5,672.0,-6.436861837282777,1000.3499755859375,96.0,-0.08500000089406967,672.0
95.5999984741211,107.4000015258789,1787701105000.0,1.6519999504089355,677.0,132.0,78.0,157.0,677.0,106.88980017788708,0.5,677.0,-6.4369255397468805,1009.2999877929688,95.5999984741211,-0.0989999994635582,677.0
96.19999694824219,108.19999694824219,1787701113000.0,1.6519999504089355,685.0,131.0,77.0,154.0,685.0,106.88972641713917,0.0,685.0,-6.437017321586609,1022.3400268554688,96.19999694824219,0.07100000232458115,685.0
96.19999694824219,108.4000015258789,1787701120000.0,1.6419999599456787,692.0,131.0,77.0,154.0,692.0,106.8896646425128,0.0,692.0,-6.437073480337858,1031.6199951171875,96.19999694824219,0.017000000923871994,692.0
96.5999984741211,108.0,1787701127000.0,1.5959999561309814,699.0,133.0,74.0,149.0,699.0,106.88959825783968,0.5,699.0,-6.437144726514816,1042.5799560546875,96.5999984741211,0.04699999839067459,699.0
97.0,108.4000015258789,1787701137000.0,1.5770000219345093,709.0,131.0,73.0,147.0,709.0,106.88952290453017,0.5,709.0,-6.437254697084427,1057.4200439453125,97.0,0.04600000008940697,709.0
97.4000015258789,109.19999694824219,1787701146000.0,1.5490000247955322,718.0,128.0,73.0,146.0,718.0,106.88948661088943,0.0,718.0,-6.437357123941183,1069.43994140625,97.4000015258789,0.03799999877810478,718.0
97.5999984741211,109.19999694824219,1787701148000.0,1.5299999713897705,720.0,127.0,73.0,147.0,720.0,106.8894817493856,0.5,720.0,-6.437382269650698,1072.2099609375,97.5999984741211,0.06400000303983688,720.0
97.5999984741211,110.0,1787701159000.0,1.5210000276565552,731.0,125.0,74.0,149.0,731.0,106.88943170942366,0.5,731.0,-6.437528869137168,1089.3399658203125,97.5999984741211,0.0010000000474974513,731.0
96.5999984741211,110.0,1787701169000.0,1.5579999685287476,741.0,123.0,78.0,157.0,741.0,106.8893897999078,0.5,741.0,-6.4376771450042725,1106.3800048828125,96.5999984741211,-0.08699999749660492,741.0
96.19999694824219,109.5999984741211,1787701175000.0,1.5770000219345093,747.0,126.0,76.0,152.0,747.0,106.88935786485672,0.0,747.0,-6.437758533284068,1116.030029296875,96.19999694824219,-0.07699999958276749,747.0
