directTimestamp,directFractionalCadence,sumMovingDuration,directUncorrectedElevation,sumDuration,directRunCadence,directLongitude,directLatitude,directSpeed,directCorrectedElevation,directElevation,directHeartRate,sumElapsedDuration,sumDistance,directDoubleCadence,directVerticalSpeed,elapsed_s
1789379405000.0,0.5,406.0,97.80000305175781,414.0,78.0,106.89341336488724,-6.430156733840704,1.7640000581741333,81.5999984741211,81.5999984741211,142.0,414.0,770.5900268554688,157.0,-0.164000004529953,414.0
1789379412000.0,0.5,413.0,97.80000305175781,421.0,78.0,106.89344932325184,-6.430036202073097,1.7730000019073486,79.80000305175781,79.80000305175781,141.0,421.0,784.5,157.0,-0.2590000033378601,421.0
1789379421000.0,0.0,422.0,98.4000015258789,430.0,79.0,106.89350229687989,-6.429893206804991,1.8009999990463257,79.0,79.0,140.0,430.0,801.3900146484375,158.0,-0.10300000011920929,430.0
1789379423000.0,0.0,424.0,98.19999694824219,432.0,79.0,106.893510511145,-6.42986286431551,1.809999942779541,78.80000305175781,78.80000305175781,140.0,432.0,804.989990234375,158.0,-0.03999999910593033,432.0
1789379427000.0,0.0,428.0,97.80000305175781,436.0,80.0,106.89354563131928,-6.4297993294894695,1.819000005722046,78.80000305175781,78.80000305175781,139.0,436.0,813.02001953125,160.0,-0.026000000536441803,436.0
1789379434000.0,0.0,435.0,97.80000305175781,443.0,77.0,106.89357731491327,-6.429662620648742,1.8380000591278076,78.5999984741211,78.5999984741211,139.0,443.0,828.5399780273438,154.0,-0.013000000268220901,443.0
1789379436000.0,0.0,437.0,99.0,445.0,77.0,106.89357798546553,-6.4296358823776245,1.8380000591278076,78.80000305175781,78.80000305175781,138.0,445.0,831.510009765625,154.0,0.04899999871850014,445.0
1789379441000.0,0.0,442.0,101.19999694824219,450.0,76.0,106.8935139477253,-6.429575448855758,1.819000005722046,78.4000015258789,78.4000015258789,136.0,450.0,841.7100219726562,152.0,-0.08299999684095383,450.0
1789379451000.0,0.5,452.0,103.80000305175781,460.0,77.0,106.89333700574934,-6.429510740563273,1.8569999933242798,77.4000015258789,77.4000015258789,137.0,460.0,862.77001953125,155.0,-0.10000000149011612,460.0
1789379452000.0,0.5,453.0,104.19999694824219,461.0,77.0,106.89331663772464,-6.429505543783307,1.8660000562667847,77.19999694824219,77.19999694824219,138.0,461.0,865.0900268554688,155.0,-0.01899999938905239,461.0
1789379454000.0,0.0,455.0,105.0,463.0,77.0,106.89328671433032,-6.429495569318533,1.875,77.19999694824219,77.19999694824219,141.0,463.0,868.5800170898438,154.0,-0.017999999225139618,463.0
1789379462000.0,0.0,463.0,110.19999694824219,471.0,78.0,106.89317917451262,-6.42945634201169,1.9129999876022339,77.19999694824219,77.19999694824219,140.0,471.0,881.2100219726562,156.0,-0.017999999225139618,471.0
1789379470000.0,0.5,471.0,111.5999984741211,479.0,79.0,106.89306182786822,-6.429428430274129,1.9129999876022339,77.0,77.0,141.0,479.0,894.5999755859375,159.0,-0.010999999940395355,479.0
1789379479000.0,0.0,480.0,112.4000015258789,488.0,78.0,106.89291489310563,-6.429380318149924,1.902999997138977,76.80000305175781,76.80000305175781,142.0,488.0,911.7000122070312,156.0,-0.020999999716877937,488.0
1789379486000.0,0.5,487.0,113.0,495.0,79.0,106.8928077723831,-6.429315274581313,1.9220000505447388,76.80000305175781,76.80000305175781,140.0,495.0,925.5599975585938,159.0,0.007000000216066837,495.0
1789379492000.0,0.5,493.0,113.19999694824219,501.0,79.0,106.89273526892066,-6.429242938756943,1.940999984741211,76.5999984741211,76.5999984741211,138.0,501.0,937.0499877929688,159.0,-0.032999999821186066,501.0
1789379493000.0,0.0,494.0,113.0,502.0,79.0,106.89273661002517,-6.429226929321885,1.940999984741211,76.5999984741211,76.5999984741211,138.0,502.0,938.739990234375,158.0,-0.11500000208616257,502.0
1789379494000.0,0.0,495.0,113.0,503.0,78.0,106.8927454110235,-6.429217038676143,1.9500000476837158,76.5999984741211,76.5999984741211,139.0,503.0,940.1699829101562,156.0,-0.07100000232458115,503.0
1789379496000.0,0.5,497.0,112.5999984741211,505.0,77.0,106.89277231693268,-6.4292047172784805,1.9500000476837158,76.4000015258789,76.4000015258789,140.0,505.0,943.5499877929688,155.0,-0.04399999976158142,505.0
1789379497000.0,0.5,498.0,112.5999984741211,506.0,77.0,106.89278463833034,-6.429204046726227,1.9500000476837158,76.4000015258789,76.4000015258789,140.0,506.0,944.9199829101562,155.0,-0.004999999888241291,506.0
1789379499000.0,0.5,500.0,112.5999984741211,508.0,77.0,106.89281347207725,-6.42920421436429,1.940999984741211,76.4000015258789,76.4000015258789,143.0,508.0,948.0800170898438,155.0,0.0010000000474974513,508.0
1789379501000.0,0.5,502.0,112.5999984741211,510.0,77.0,106.89284792169929,-6.429205220192671,1.940999984741211,76.4000015258789,76.4000015258789,143.0,510.0,951.8699951171875,155.0,-0.03099999949336052,510.0
1789379502000.0,0.0,503.0,113.0,511.0,78.0,106.89287382178009,-6.429211925715208,1.930999994277954,76.19999694824219,76.19999694824219,144.0,511.0,954.72998046875,156.0,-0.0689999982714653,511.0
1789379509000.0,0.0,510.0,114.19999694824219,518.0,78.0,106.89300240017474,-6.429270515218377,1.930999994277954,76.4000015258789,76.4000015258789,144.0,518.0,970.3099975585938,156.0,0.023000000044703484,518.0
1789379515000.0,0.0,516.0,116.80000305175781,524.0,79.0,106.89308278262615,-6.4292866084724665,1.9220000505447388,76.5999984741211,76.5999984741211,142.0,524.0,979.3300170898438,158.0,0.009999999776482582,524.0
1789379516000.0,0.0,517.0,117.19999694824219,525.0,79.0,106.89310004934669,-6.4292848482728004,1.9220000505447388,76.4000015258789,76.4000015258789,141.0,525.0,981.2100219726562,158.0,-0.006000000052154064,525.0
1789379525000.0,0.5,526.0,117.5999984741211,534.0,78.0,106.89327422529459,-6.429345700889826,1.9220000505447388,77.0,77.0,139.0,534.0,1001.2899780273438,157.0,0.0560000017285347,534.0
1789379528000.0,0.0,529.0,118.19999694824219,537.0,77.0,106.89331772737205,-6.4293720200657845,1.930999994277954,77.0,77.0,138.0,537.0,1006.9099731445312,154.0,0.0,537.0
1789379530000.0,0.5,531.0,119.4000015258789,539.0,79.0,106.89334882423282,-6.429393980652094,1.930999994277954,77.0,77.0,139.0,539.0,1011.030029296875,159.0,0.0,539.0
1789379533000.0,0.5,534.0,121.5999984741211,542.0,79.0,106.89339945092797,-6.4294185396283865,1.930999994277954,77.0,77.0,140.0,542.0,1017.1599731445312,159.0,0.0,542.0
1789379535000.0,0.5,536.0,123.0,544.0,79.0,106.8934254348278,-6.429421054199338,1.930999994277954,77.0,77.0,142.0,544.0,1019.9600219726562,159.0,0.0,544.0
1789379540000.0,0.5,541.0,125.4000015258789,549.0,79.0,106.89351445063949,-6.429433962330222,1.940999984741211,77.80000305175781,77.80000305175781,144.0,549.0,1029.199951171875,159.0,0.16200000047683716,549.0
1789379542000.0,0.5,543.0,126.0,551.0,79.0,106.89355451613665,-6.429445026442409,1.940999984741211,78.19999694824219,78.19999694824219,144.0,551.0,1033.68994140625,159.0,0.23600000143051147,551.0
1789379549000.0,0.5,550.0,125.80000305175781,558.0,80.0,106.89366968348622,-6.429404625669122,1.930999994277954,79.4000015258789,79.4000015258789,145.0,558.0,1047.449951171875,161.0,0.1459999978542328,558.0
1789379554000.0,0.5,555.0,122.19999694824219,563.0,79.0,106.8937005288899,-6.429326003417373,1.930999994277954,79.0,79.0,148.0,563.0,1056.780029296875,159.0,-0.04699999839067459,563.0
1789379556000.0,0.0,557.0,120.80000305175781,565.0,79.0,106.89371469430625,-6.429296247661114,1.9220000505447388,79.0,79.0,148.0,565.0,1060.4300537109375,158.0,-0.03099999949336052,565.0
1789379559000.0,0.5,560.0,118.5999984741211,568.0,79.0,106.89372450113297,-6.429249811917543,1.9220000505447388,78.80000305175781,78.80000305175781,151.0,568.0,1065.6700439453125,159.0,-0.06599999964237213,568.0
1789379563000.0,0.5,564.0,115.80000305175781,572.0,79.0,106.89375995658338,-6.42917244695127,1.9129999876022339,78.80000305175781,78.80000305175781,151.0,572.0,1075.1099853515625,159.0,0.019999999552965164,572.0
1789379571000.0,0.5,572.0,112.80000305175781,580.0,80.0,106.8938244972378,-6.42903171479702,1.9220000505447388,79.0,79.0,151.0,580.0,1092.260009765625,161.0,0.024000000208616257,580.0
