directLongitude,directLatitude,directFractionalCadence,directDoubleCadence,directRunCadence,directSpeed,directElevation,sumDistance,directHeartRate,directCorrectedElevation,directUncorrectedElevation,sumDuration,sumMovingDuration,sumElapsedDuration,directTimestamp,directVerticalSpeed,elapsed_s
106.89255489036441,-6.432970874011517,0.0,160.0,80.0,1.753999948501587,91.4000015258789,351.5899963378906,142.0,91.4000015258789,99.19999694824219,196.0,188.0,196.0,1785885039000.0,0.00800000037997961,196.0
106.89254650846124,-6.432984368875623,0.0,160.0,80.0,1.7640000581741333,91.4000015258789,353.3399963378906,142.0,91.4000015258789,99.5999984741211,197.0,189.0,197.0,1785885040000.0,-0.012000000104308128,197.0
106.8925535492599,-6.433074977248907,0.0,160.0,80.0,1.7730000019073486,91.4000015258789,363.510009765625,139.0,91.4000015258789,101.0,203.0,195.0,203.0,1785885046000.0,0.017000000923871994,203.0
106.89255656674504,-6.43308830447495,0.0,160.0,80.0,1.7730000019073486,91.4000015258789,365.010009765625,139.0,91.4000015258789,101.19999694824219,204.0,196.0,204.0,1785885047000.0,-0.026000000536441803,204.0
106.89256461337209,-6.433194251731038,0.0,156.0,78.0,1.7640000581741333,91.19999694824219,376.739990234375,137.0,91.19999694824219,100.19999694824219,212.0,204.0,212.0,1785885055000.0,-0.03999999910593033,212.0
106.89256528392434,-6.433285949751735,0.5,157.0,78.0,1.7359999418258667,90.80000305175781,386.739990234375,137.0,90.80000305175781,99.80000305175781,219.0,211.0,219.0,1785885062000.0,-0.04600000008940697,219.0
106.89256084151566,-6.4333089999854565,0.0,160.0,80.0,1.7259999513626099,90.5999984741211,389.2099914550781,137.0,90.5999984741211,99.5999984741211,221.0,213.0,221.0,1785885064000.0,-0.05700000002980232,221.0
106.89257215708494,-6.43339223228395,0.5,155.0,77.0,1.6979999542236328,90.80000305175781,398.4200134277344,137.0,90.80000305175781,99.5999984741211,227.0,219.0,227.0,1785885070000.0,0.009999999776482582,227.0
106.89257835969329,-6.433433890342712,0.0,152.0,76.0,1.6799999475479126,90.80000305175781,403.0199890136719,140.0,90.80000305175781,99.5999984741211,230.0,222.0,230.0,1785885073000.0,0.014999999664723873,230.0
106.89258749596775,-6.433471105992794,0.0,152.0,76.0,1.6610000133514404,90.80000305175781,407.260009765625,141.0,90.80000305175781,99.4000015258789,233.0,225.0,233.0,1785885076000.0,0.02199999988079071,233.0
106.89259302802384,-6.433510417118669,0.0,152.0,76.0,1.6610000133514404,90.80000305175781,411.54998779296875,141.0,90.80000305175781,99.19999694824219,236.0,228.0,236.0,1785885079000.0,0.013000000268220901,236.0
106.89259227365255,-6.4336238242685795,0.0,152.0,76.0,1.6239999532699585,91.0,424.30999755859375,142.0,91.0,98.5999984741211,245.0,237.0,245.0,1785885088000.0,0.006000000052154064,245.0
106.89259034581482,-6.433698171749711,0.0,0.0,0.0,1.6050000190734863,91.0,432.510009765625,138.0,91.0,97.4000015258789,252.0,244.0,252.0,1785885095000.0,-0.0010000000474974513,252.0
106.89258246682584,-6.4337236527353525,0.0,0.0,0.0,1.5959999561309814,91.0,435.45001220703125,138.0,91.0,97.19999694824219,254.0,246.0,254.0,1785885097000.0,-0.014000000432133675,254.0
106.89253904856741,-6.433862624689937,0.5,105.0,52.0,1.5019999742507935,90.80000305175781,451.57000732421875,135.0,90.80000305175781,98.5999984741211,266.0,258.0,266.0,1785885109000.0,-0.013000000268220901,266.0
106.89252144657075,-6.4339518919587135,0.0,0.0,0.0,1.4459999799728394,92.19999694824219,461.739990234375,134.0,92.19999694824219,99.19999694824219,274.0,266.0,274.0,1785885117000.0,0.17499999701976776,274.0
106.89249529503286,-6.434020455926657,0.0,108.0,54.0,1.4279999732971191,92.5999984741211,469.8500061035156,131.0,92.5999984741211,99.4000015258789,280.0,272.0,280.0,1785885123000.0,0.08100000023841858,280.0
106.89248397946358,-6.434089103713632,0.5,109.0,54.0,1.399999976158142,92.80000305175781,477.5400085449219,128.0,92.80000305175781,100.5999984741211,286.0,278.0,286.0,1785885129000.0,0.027000000700354576,286.0
106.89248045906425,-6.43410075455904,0.5,109.0,54.0,1.399999976158142,92.80000305175781,478.8800048828125,128.0,92.80000305175781,100.80000305175781,287.0,279.0,287.0,1785885130000.0,0.050999999046325684,287.0
106.89244190230966,-6.434233859181404,0.0,108.0,54.0,1.3619999885559082,94.0,494.2300109863281,125.0,94.0,102.5999984741211,299.0,291.0,299.0,1785885142000.0,0.09799999743700027,299.0
106.8924327660352,-6.4342499524354935,0.0,108.0,54.0,1.3530000448226929,94.19999694824219,496.29998779296875,124.0,94.19999694824219,102.80000305175781,301.0,293.0,301.0,1785885144000.0,0.12399999797344208,301.0
106.89240175299346,-6.434300411492586,0.0,108.0,54.0,1.343999981880188,95.0,502.8299865722656,123.0,95.0,103.4000015258789,305.0,297.0,305.0,1785885148000.0,0.20200000703334808,305.0
