sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
172.0,310.67999267578125,202.0,147.0,106.89266796223819,-6.432740958407521,91.4000015258789,79.0,98.80000305175781,207.0,1786057522000.0,91.4000015258789,0.5,1.8009999990463257,159.0,0.20399999618530273,207.0
184.0,326.95001220703125,214.0,145.0,106.89261473715305,-6.432877918705344,91.4000015258789,76.0,97.80000305175781,219.0,1786057534000.0,91.4000015258789,0.5,1.6699999570846558,153.0,0.014999999664723873,219.0
193.0,339.8699951171875,223.0,143.0,106.89258481375873,-6.432991158217192,91.5999984741211,78.0,97.5999984741211,228.0,1786057543000.0,91.5999984741211,0.0,1.5210000276565552,156.0,0.01899999938905239,228.0
203.0,354.25,233.0,143.0,106.89258137717843,-6.433121412992477,91.4000015258789,77.0,99.0,238.0,1786057553000.0,91.4000015258789,0.0,1.5399999618530273,154.0,-0.01600000075995922,238.0
211.0,365.8800048828125,241.0,140.0,106.89258783124387,-6.433226270601153,91.19999694824219,77.0,99.5999984741211,246.0,1786057561000.0,91.19999694824219,0.5,1.4839999675750732,155.0,-0.04100000113248825,246.0
217.0,375.4599914550781,247.0,139.0,106.89258992671967,-6.4333125203847885,90.80000305175781,79.0,99.19999694824219,252.0,1786057567000.0,90.80000305175781,0.0,1.4839999675750732,158.0,-0.04899999871850014,252.0
228.0,392.4100036621094,258.0,141.0,106.89259562641382,-6.4334656577557325,91.0,78.0,96.19999694824219,263.0,1786057578000.0,91.0,0.5,1.5119999647140503,157.0,0.003000000026077032,263.0
239.0,412.760009765625,269.0,143.0,106.89261473715305,-6.433649221435189,91.0,78.0,92.4000015258789,274.0,1786057589000.0,91.0,0.5,1.5770000219345093,157.0,0.008999999612569809,274.0
250.0,431.2799987792969,280.0,146.0,106.89257584512234,-6.433811746537685,90.80000305175781,79.0,91.4000015258789,285.0,1786057600000.0,90.80000305175781,0.0,1.6239999532699585,158.0,-0.010999999940395355,285.0
251.0,432.8299865722656,281.0,147.0,106.89256905578077,-6.433823984116316,90.80000305175781,79.0,91.4000015258789,286.0,1786057601000.0,90.80000305175781,0.0,1.6239999532699585,158.0,-0.024000000208616257,286.0
254.0,438.1499938964844,284.0,151.0,106.89254843629897,-6.433867737650871,90.80000305175781,77.0,91.80000305175781,289.0,1786057604000.0,90.80000305175781,0.5,1.6239999532699585,155.0,-0.02500000037252903,289.0
261.0,447.4599914550781,291.0,152.0,106.89252647571266,-6.43394879065454,92.19999694824219,79.0,92.5999984741211,296.0,1786057611000.0,92.19999694824219,0.0,1.6139999628067017,158.0,0.1899999976158142,296.0
267.0,456.239990234375,297.0,149.0,106.89250065945089,-6.434023641049862,92.5999984741211,77.0,94.4000015258789,302.0,1786057617000.0,92.5999984741211,0.5,1.5770000219345093,155.0,0.07500000298023224,302.0
271.0,461.9700012207031,301.0,146.0,106.89248213544488,-6.434072088450193,92.80000305175781,77.0,95.4000015258789,306.0,1786057621000.0,92.80000305175781,0.5,1.5579999685287476,155.0,0.06700000166893005,306.0
274.0,465.7900085449219,304.0,146.0,106.89247031696141,-6.4341044425964355,93.0,76.0,95.80000305175781,309.0,1786057624000.0,93.0,0.5,1.5490000247955322,153.0,0.05700000002980232,309.0
285.0,480.2699890136719,315.0,144.0,106.89242798835039,-6.434227908030152,94.19999694824219,74.0,97.19999694824219,320.0,1786057635000.0,94.19999694824219,0.0,1.5019999742507935,148.0,0.10700000077486038,320.0
291.0,489.3599853515625,321.0,141.0,106.89238733612001,-6.43429865129292,95.19999694824219,76.0,97.4000015258789,326.0,1786057641000.0,95.19999694824219,0.5,1.4739999771118164,153.0,0.18199999630451202,326.0
294.0,493.6199951171875,324.0,140.0,106.8923619389534,-6.434327065944672,95.80000305175781,77.0,97.4000015258789,329.0,1786057644000.0,95.80000305175781,0.0,1.465000033378601,154.0,0.1899999976158142,329.0
295.0,494.9599914550781,325.0,140.0,106.89235649071634,-6.434338046237826,96.0,77.0,97.5999984741211,330.0,1786057645000.0,96.0,0.0,1.465000033378601,154.0,0.15700000524520874,330.0
305.0,508.69000244140625,335.0,140.0,106.89227879047394,-6.434434941038489,97.5999984741211,77.0,99.5999984741211,340.0,1786057655000.0,97.5999984741211,0.0,1.4459999799728394,154.0,0.15600000321865082,340.0
309.0,513.8300170898438,339.0,143.0,106.8922482803464,-6.434469390660524,97.80000305175781,77.0,100.19999694824219,344.0,1786057659000.0,97.80000305175781,0.0,1.437000036239624,154.0,0.0820000022649765,344.0
313.0,520.2000122070312,343.0,145.0,106.8922131601721,-6.434514485299587,98.19999694824219,78.0,100.5999984741211,348.0,1786057663000.0,98.19999694824219,0.0,1.4279999732971191,156.0,0.0949999988079071,348.0
321.0,532.9199829101562,351.0,147.0,106.89213705249131,-6.434600483626127,99.0,79.0,102.80000305175781,356.0,1786057671000.0,99.0,0.0,1.4279999732971191,158.0,0.10300000011920929,356.0
