directDoubleCadence,directElevation,directLongitude,sumMovingDuration,sumElapsedDuration,sumDistance,directHeartRate,sumDuration,directTimestamp,directLatitude,directCorrectedElevation,directRunCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directVerticalSpeed,elapsed_s
165.0,21.399999618530273,106.80861121974885,198.0,198.0,508.510009765625,173.0,198.0,1788049852000.0,-6.222285786643624,21.399999618530273,82.0,0.5,2.546999931335449,41.79999923706055,-0.23600000143051147,198.0
165.0,21.200000762939453,106.80862915702164,199.0,199.0,510.8699951171875,173.0,199.0,1788049853000.0,-6.222274135798216,21.200000762939453,82.0,0.5,2.546999931335449,41.599998474121094,-0.23600000143051147,199.0
165.0,20.0,106.80878195911646,208.0,208.0,531.8300170898438,175.0,208.0,1788049862000.0,-6.222163746133447,20.0,82.0,0.5,2.5190000534057617,39.599998474121094,-0.125,208.0
163.0,20.399999618530273,106.80893392302096,217.0,217.0,553.0999755859375,174.0,217.0,1788049871000.0,-6.222045058384538,20.399999618530273,81.0,0.5,2.500999927520752,39.599998474121094,0.032999999821186066,217.0
164.0,20.399999618530273,106.80894666351378,218.0,218.0,554.9400024414062,175.0,218.0,1788049872000.0,-6.222034245729446,20.399999618530273,82.0,0.0,2.500999927520752,39.400001525878906,0.039000000804662704,218.0
167.0,20.0,106.8090751580894,226.0,226.0,573.8699951171875,175.0,226.0,1788049880000.0,-6.221920754760504,20.0,83.0,0.5,2.4730000495910645,38.79999923706055,-0.039000000804662704,226.0
167.0,19.0,106.80921555496752,234.0,234.0,592.9199829101562,174.0,234.0,1788049888000.0,-6.221821680665016,19.0,83.0,0.5,2.4539999961853027,37.0,-0.14300000667572021,234.0
163.0,17.799999237060547,106.80933508090675,241.0,241.0,609.3200073242188,174.0,241.0,1788049895000.0,-6.22173341922462,17.799999237060547,81.0,0.5,2.434999942779541,37.599998474121094,-0.17100000381469727,241.0
136.0,16.600000381469727,106.80944496765733,250.0,250.0,626.5499877929688,174.0,250.0,1788049904000.0,-6.22162202373147,16.600000381469727,68.0,0.0,2.3610000610351562,37.599998474121094,-0.13300000131130219,250.0
129.0,16.200000762939453,106.80951663292944,259.0,259.0,638.280029296875,172.0,259.0,1788049913000.0,-6.221543904393911,16.200000762939453,64.0,0.5,1.8289999961853027,36.0,-0.03700000047683716,259.0
124.0,16.0,106.80959391407669,268.0,268.0,650.3900146484375,171.0,268.0,1788049922000.0,-6.221467461436987,16.0,62.0,0.0,1.4179999828338623,34.599998474121094,-0.026000000536441803,268.0
122.0,15.800000190734863,106.80964018218219,272.0,272.0,655.8699951171875,169.0,272.0,1788049926000.0,-6.221449691802263,15.800000190734863,61.0,0.0,1.399999976158142,34.0,-0.06700000166893005,272.0
116.0,15.600000381469727,106.80967303924263,276.0,276.0,661.3099975585938,169.0,276.0,1788049930000.0,-6.221411302685738,15.600000381469727,58.0,0.0,1.2690000534057617,33.599998474121094,-0.02500000037252903,276.0
0.0,15.399999618530273,106.8097345624119,284.0,284.0,670.6699829101562,166.0,284.0,1788049938000.0,-6.221354305744171,15.399999618530273,0.0,0.0,1.1759999990463257,33.0,-0.029999999329447746,284.0
0.0,15.399999618530273,106.80974923074245,285.0,285.0,672.6500244140625,166.0,285.0,1788049939000.0,-6.221343073993921,15.399999618530273,0.0,0.0,1.156999945640564,33.20000076293945,-0.06499999761581421,285.0
127.0,15.0,106.80983581580222,292.0,292.0,683.8200073242188,163.0,292.0,1788049946000.0,-6.221289429813623,15.0,63.0,0.5,1.4279999732971191,37.20000076293945,-0.04399999976158142,292.0
93.0,15.0,106.80985568091273,294.0,294.0,686.6699829101562,162.0,294.0,1788049948000.0,-6.221273085102439,15.0,46.0,0.5,1.3899999856948853,37.599998474121094,0.0,294.0
125.0,15.0,106.80991988629103,299.0,299.0,694.8200073242188,159.0,299.0,1788049953000.0,-6.221237042918801,15.0,62.0,0.5,1.409000039100647,36.79999923706055,0.0,299.0
0.0,15.0,106.80995819158852,302.0,302.0,699.6300048828125,159.0,302.0,1788049956000.0,-6.221216423436999,15.0,0.0,0.0,1.4559999704360962,36.400001525878906,0.0,302.0
160.0,15.0,106.8100487999618,308.0,308.0,712.8699951171875,160.0,308.0,1788049962000.0,-6.221138052642345,15.0,80.0,0.0,1.5859999656677246,35.400001525878906,0.0,308.0
165.0,16.0,106.8101751152426,315.0,315.0,730.6099853515625,162.0,315.0,1788049969000.0,-6.22104006819427,16.0,82.0,0.5,2.0339999198913574,34.400001525878906,0.13699999451637268,315.0
165.0,16.799999237060547,106.81024552322924,319.0,319.0,740.3599853515625,165.0,319.0,1788049973000.0,-6.220987262204289,16.799999237060547,82.0,0.5,2.2669999599456787,34.20000076293945,0.23199999332427979,319.0
167.0,17.799999237060547,106.81031417101622,323.0,323.0,749.5499877929688,166.0,323.0,1788049977000.0,-6.220940323546529,17.799999237060547,83.0,0.5,2.305000066757202,34.20000076293945,0.2280000001192093,323.0
165.0,19.399999618530273,106.81047124788165,332.0,332.0,769.8300170898438,167.0,332.0,1788049986000.0,-6.220847703516483,19.399999618530273,82.0,0.5,2.239000082015991,35.79999923706055,0.18299999833106995,332.0
171.0,20.399999618530273,106.81056143715978,338.0,338.0,783.219970703125,168.0,338.0,1788049992000.0,-6.220767740160227,20.399999618530273,85.0,0.5,2.2209999561309814,37.400001525878906,0.15600000321865082,338.0
159.0,20.600000381469727,106.81064559146762,344.0,344.0,794.3599853515625,169.0,344.0,1788049998000.0,-6.22071267105639,20.600000381469727,79.0,0.5,2.193000078201294,37.79999923706055,0.052000001072883606,344.0
163.0,20.200000762939453,106.81075489148498,351.0,351.0,809.0900268554688,169.0,351.0,1788050005000.0,-6.220635389909148,20.200000762939453,81.0,0.5,2.071000099182129,37.599998474121094,-0.07900000363588333,351.0
163.0,19.399999618530273,106.81086871773005,359.0,359.0,824.6699829101562,168.0,359.0,1788050013000.0,-6.220550732687116,19.399999618530273,81.0,0.5,2.0429999828338623,36.599998474121094,-0.09600000083446503,359.0
161.0,19.0,106.81092345155776,363.0,363.0,834.0,165.0,363.0,1788050017000.0,-6.2204839289188385,19.0,80.0,0.5,2.00600004196167,36.20000076293945,-0.0949999988079071,363.0
161.0,18.399999618530273,106.81097173132002,367.0,367.0,840.5399780273438,162.0,367.0,1788050021000.0,-6.220449898391962,18.399999618530273,80.0,0.5,1.9780000448226929,36.599998474121094,-0.17000000178813934,367.0
159.0,16.200000762939453,106.81106711737812,376.0,376.0,855.4099731445312,160.0,376.0,1788050030000.0,-6.220354847609997,16.200000762939453,79.0,0.5,1.8940000534057617,36.0,-0.2280000001192093,376.0
161.0,14.199999809265137,106.81117985397577,385.0,385.0,871.6599731445312,162.0,385.0,1788050039000.0,-6.22026071883738,14.199999809265137,80.0,0.5,1.8380000591278076,34.599998474121094,-0.2329999953508377,385.0
160.0,12.800000190734863,106.81129678152502,394.0,394.0,887.97998046875,161.0,394.0,1788050048000.0,-6.22017078101635,12.800000190734863,80.0,0.0,1.7910000085830688,36.400001525878906,-0.14000000059604645,394.0
157.0,12.399999618530273,106.81142167188227,405.0,405.0,906.5599975585938,161.0,405.0,1788050059000.0,-6.2200589664280415,12.399999618530273,78.0,0.5,1.7640000581741333,35.0,-0.03700000047683716,405.0
157.0,12.399999618530273,106.81143374182284,406.0,406.0,908.1099853515625,164.0,406.0,1788050060000.0,-6.220051925629377,12.399999618530273,78.0,0.5,1.7640000581741333,34.79999923706055,-0.02500000037252903,406.0
159.0,13.800000190734863,106.81156852282584,416.0,416.0,927.219970703125,165.0,416.0,1788050070000.0,-6.219944301992655,13.800000190734863,79.0,0.5,1.7359999418258667,34.599998474121094,0.1289999932050705,416.0
155.0,15.600000381469727,106.81167128495872,425.0,425.0,943.2999877929688,164.0,425.0,1788050079000.0,-6.219841623678803,15.600000381469727,77.0,0.5,1.7450000047683716,34.20000076293945,0.19699999690055847,425.0
157.0,16.799999237060547,106.81174110621214,431.0,431.0,953.219970703125,161.0,431.0,1788050085000.0,-6.219784962013364,16.799999237060547,78.0,0.5,1.7359999418258667,34.20000076293945,0.20900000631809235,431.0
154.0,17.200000762939453,106.81177999824286,434.0,434.0,958.0499877929688,157.0,434.0,1788050088000.0,-6.219764929264784,17.200000762939453,77.0,0.0,1.7259999513626099,34.20000076293945,0.16899999976158142,434.0
154.0,17.399999618530273,106.81179223582149,435.0,435.0,959.6599731445312,157.0,435.0,1788050089000.0,-6.219756966456771,17.399999618530273,77.0,0.0,1.7259999513626099,34.20000076293945,0.13199999928474426,435.0
157.0,17.600000381469727,106.81181277148426,437.0,437.0,962.9099731445312,160.0,437.0,1788050091000.0,-6.219736011698842,17.600000381469727,78.0,0.5,1.7170000076293945,34.0,0.11100000143051147,437.0
160.0,18.799999237060547,106.81191343814135,446.0,446.0,978.2100219726562,158.0,446.0,1788050100000.0,-6.219642553478479,18.799999237060547,80.0,0.0,1.6890000104904175,32.599998474121094,0.11900000274181366,446.0
155.0,19.0,106.81204788386822,457.0,457.0,996.6900024414062,157.0,457.0,1788050111000.0,-6.219545574858785,19.0,77.0,0.5,1.6699999570846558,32.400001525878906,0.026000000536441803,457.0
154.0,19.0,106.81208308786154,460.0,460.0,1000.8200073242188,157.0,460.0,1788050114000.0,-6.219533169642091,19.0,77.0,0.0,1.6699999570846558,32.0,-0.0020000000949949026,460.0
157.0,19.200000762939453,106.81214620359242,464.0,464.0,1008.469970703125,155.0,464.0,1788050118000.0,-6.219525709748268,19.200000762939453,78.0,0.5,1.6519999504089355,31.799999237060547,0.03700000047683716,464.0
157.0,19.200000762939453,106.81216313503683,465.0,465.0,1010.3400268554688,155.0,465.0,1788050119000.0,-6.219524955376983,19.200000762939453,78.0,0.5,1.6519999504089355,31.600000381469727,0.007000000216066837,465.0
157.0,18.799999237060547,106.81217830628157,468.0,468.0,1014.97998046875,154.0,468.0,1788050122000.0,-6.2194861471652985,18.799999237060547,78.0,0.5,1.6519999504089355,31.399999618530273,-0.10599999874830246,468.0
155.0,18.799999237060547,106.81219012476504,469.0,469.0,1016.7100219726562,154.0,469.0,1788050123000.0,-6.219475585967302,18.799999237060547,77.0,0.5,1.6519999504089355,31.200000762939453,-0.07100000232458115,469.0
152.0,18.600000381469727,106.81221753358841,472.0,472.0,1020.5399780273438,153.0,472.0,1788050126000.0,-6.219457061961293,18.600000381469727,76.0,0.0,1.6419999599456787,29.799999237060547,-0.03400000184774399,472.0
154.0,29.399999618530273,,483.0,483.0,1034.3900146484375,149.0,483.0,1788050137000.0,,,77.0,0.0,1.5859999656677246,,0.9769999980926514,483.0
159.0,19.399999618530273,106.8125911988318,492.0,492.0,1048.9100341796875,151.0,492.0,1788050146000.0,-6.219225218519568,19.399999618530273,79.0,0.5,1.6330000162124634,31.799999237060547,-1.1030000448226929,492.0
161.0,18.399999618530273,106.81260553188622,495.0,495.0,1075.7099609375,152.0,495.0,1788050149000.0,-6.219117511063814,18.399999618530273,80.0,0.5,1.6419999599456787,32.79999923706055,-0.3880000114440918,495.0
161.0,17.799999237060547,106.81265867315233,499.0,499.0,1083.6199951171875,151.0,499.0,1788050153000.0,-6.21907040476799,17.799999237060547,80.0,0.5,1.875,31.600000381469727,-0.11100000143051147,499.0
163.0,17.399999618530273,106.81274903006852,507.0,507.0,1096.02001953125,154.0,507.0,1788050161000.0,-6.219004774466157,17.399999618530273,81.0,0.5,1.9129999876022339,31.600000381469727,-0.05900000035762787,507.0
167.0,16.799999237060547,106.81285296566784,514.0,514.0,1110.9100341796875,156.0,514.0,1788050168000.0,-6.218918692320585,16.799999237060547,83.0,0.5,2.0250000953674316,31.200000762939453,-0.08900000154972076,514.0
163.0,16.0,106.8129450827837,521.0,521.0,1124.1199951171875,158.0,521.0,1788050175000.0,-6.218848368152976,16.0,81.0,0.5,1.8380000591278076,31.399999618530273,-0.11400000005960464,521.0
165.0,15.0,106.8130589928478,529.0,529.0,1139.760009765625,161.0,529.0,1788050183000.0,-6.218765135854483,15.0,82.0,0.5,1.781999945640564,31.399999618530273,-0.12600000202655792,529.0
163.0,14.800000190734863,106.81307709775865,531.0,531.0,1143.3800048828125,162.0,531.0,1788050185000.0,-6.218737559393048,14.800000190734863,81.0,0.5,1.7910000085830688,31.600000381469727,-0.13199999928474426,531.0
161.0,14.199999809265137,106.81317625567317,539.0,539.0,1157.47998046875,164.0,539.0,1788050193000.0,-6.218657931312919,14.199999809265137,80.0,0.5,1.8009999990463257,31.600000381469727,-0.0560000017285347,539.0
162.0,14.600000381469727,106.8132434785366,545.0,545.0,1167.18994140625,163.0,545.0,1788050199000.0,-6.218603113666177,14.600000381469727,81.0,0.0,1.7640000581741333,31.600000381469727,0.054999999701976776,545.0
162.0,14.800000190734863,106.81326929479837,548.0,548.0,1170.68994140625,160.0,548.0,1788050202000.0,-6.218585092574358,14.800000190734863,81.0,0.0,1.7450000047683716,31.600000381469727,0.05000000074505806,548.0
162.0,14.800000190734863,106.81328941136599,551.0,551.0,1174.3699951171875,158.0,551.0,1788050205000.0,-6.218558773398399,14.800000190734863,81.0,0.0,1.7259999513626099,31.600000381469727,0.008999999612569809,551.0
0.0,14.800000190734863,106.81330676190555,553.0,553.0,1176.949951171875,156.0,553.0,1788050207000.0,-6.218542763963342,14.800000190734863,0.0,0.0,1.6979999542236328,31.600000381469727,0.035999998450279236,553.0
118.0,15.399999618530273,106.813397789374,562.0,562.0,1190.510009765625,155.0,562.0,1788050216000.0,-6.218460705131292,15.399999618530273,59.0,0.0,1.371999979019165,30.600000381469727,0.07199999690055847,562.0
