directSpeed,directTimestamp,directFractionalCadence,directElevation,directRunCadence,directHeartRate,sumMovingDuration,sumDistance,directLatitude,directLongitude,sumDuration,sumElapsedDuration,directCorrectedElevation,directUncorrectedElevation,directDoubleCadence,directVerticalSpeed,elapsed_s
1.7910000085830688,1786229283000.0,0.5,74.5999984741211,82.0,158.0,383.0,734.0599975585938,-6.365317767485976,106.8320650421083,383.0,383.0,74.5999984741211,93.0,165.0,0.06800000369548798,383.0
1.809999942779541,1786229294000.0,0.0,75.5999984741211,81.0,157.0,394.0,754.5700073242188,-6.365132946521044,106.8320645391941,394.0,394.0,75.5999984741211,93.80000305175781,162.0,0.08699999749660492,394.0
1.847000002861023,1786229303000.0,0.0,76.80000305175781,80.0,161.0,403.0,771.760009765625,-6.364977546036243,106.83206244371831,403.0,403.0,76.80000305175781,92.80000305175781,160.0,0.12600000202655792,403.0
1.847000002861023,1786229304000.0,0.0,76.80000305175781,80.0,161.0,404.0,773.6099853515625,-6.364960949867964,106.83205992914736,404.0,404.0,76.80000305175781,92.80000305175781,160.0,0.13199999928474426,404.0
1.8660000562667847,1786229311000.0,0.0,77.5999984741211,82.0,160.0,411.0,787.3200073242188,-6.36483714915812,106.83206604793668,411.0,411.0,77.5999984741211,91.80000305175781,164.0,0.10700000077486038,411.0
1.8849999904632568,1786229321000.0,0.0,78.80000305175781,81.0,163.0,421.0,805.9600219726562,-6.364669008180499,106.83205439709127,421.0,421.0,78.80000305175781,91.19999694824219,162.0,0.12200000137090683,421.0
1.8849999904632568,1786229322000.0,0.0,78.80000305175781,81.0,164.0,422.0,807.8900146484375,-6.364652160555124,106.83204961940646,422.0,422.0,78.80000305175781,91.4000015258789,162.0,-0.01899999938905239,422.0
1.8849999904632568,1786229326000.0,0.0,78.5999984741211,81.0,161.0,426.0,814.1400146484375,-6.364597091451287,106.83203972876072,426.0,426.0,78.5999984741211,91.80000305175781,162.0,-0.03200000151991844,426.0
1.8660000562667847,1786229329000.0,0.0,78.5999984741211,81.0,160.0,429.0,818.9299926757812,-6.364553673192859,106.83203436434269,429.0,429.0,78.5999984741211,91.4000015258789,162.0,-0.04500000178813934,429.0
1.8009999990463257,1786229337000.0,0.0,78.0,83.0,160.0,437.0,833.8300170898438,-6.364421071484685,106.83204031549394,437.0,437.0,78.0,89.4000015258789,166.0,-0.06300000101327896,437.0
1.8009999990463257,1786229348000.0,0.0,77.4000015258789,81.0,158.0,448.0,854.77001953125,-6.364233233034611,106.83201123028994,448.0,448.0,77.4000015258789,89.80000305175781,162.0,-0.050999999046325684,448.0
1.8009999990463257,1786229349000.0,0.0,77.4000015258789,81.0,158.0,449.0,856.8699951171875,-6.364213954657316,106.83201441541314,449.0,449.0,77.4000015258789,90.0,162.0,-0.08100000023841858,449.0
1.809999942779541,1786229357000.0,0.0,77.0,82.0,158.0,457.0,870.6599731445312,-6.364089734852314,106.83200678788126,457.0,457.0,77.0,90.0,164.0,-0.052000001072883606,457.0
1.809999942779541,1786229366000.0,0.0,76.5999984741211,81.0,161.0,466.0,887.4099731445312,-6.363942380994558,106.83196940459311,466.0,466.0,76.5999984741211,90.19999694824219,162.0,-0.04399999976158142,466.0
1.809999942779541,1786229369000.0,0.5,76.5999984741211,82.0,161.0,469.0,893.760009765625,-6.363885635510087,106.83196110650897,469.0,469.0,76.5999984741211,89.19999694824219,165.0,-0.008999999612569809,469.0
1.8660000562667847,1786229379000.0,0.5,76.19999694824219,82.0,163.0,479.0,915.3900146484375,-6.363693606108427,106.83192246593535,479.0,479.0,76.19999694824219,87.5999984741211,165.0,-0.028999999165534973,479.0
1.902999997138977,1786229385000.0,0.5,76.4000015258789,82.0,163.0,485.0,928.1400146484375,-6.3635931070894,106.83186580426991,485.0,485.0,76.4000015258789,87.5999984741211,165.0,0.00800000037997961,485.0
1.968999981880188,1786229395000.0,0.0,76.5999984741211,83.0,163.0,495.0,949.4000244140625,-6.363442232832313,106.83174837380648,495.0,495.0,76.5999984741211,86.5999984741211,166.0,0.023000000044703484,495.0
2.0250000953674316,1786229406000.0,0.0,76.0,83.0,161.0,506.0,970.9000244140625,-6.363302590325475,106.83161325752735,506.0,506.0,76.0,85.19999694824219,166.0,-0.04600000008940697,506.0
2.0250000953674316,1786229408000.0,0.0,75.80000305175781,82.0,163.0,508.0,974.6500244140625,-6.363277360796928,106.83159054256976,508.0,508.0,75.80000305175781,85.4000015258789,164.0,-0.14300000667572021,508.0
2.0339999198913574,1786229418000.0,0.0,74.80000305175781,82.0,164.0,518.0,995.25,-6.363144675269723,106.83146070688963,518.0,518.0,74.80000305175781,87.5999984741211,164.0,-0.09000000357627869,518.0
2.0339999198913574,1786229421000.0,0.0,74.4000015258789,82.0,165.0,521.0,1000.8400268554688,-6.3631088845431805,106.83142499998212,521.0,521.0,74.4000015258789,88.19999694824219,164.0,-0.1289999932050705,521.0
2.0339999198913574,1786229428000.0,0.0,73.5999984741211,82.0,162.0,528.0,1014.25,-6.3630211260169744,106.8313411809504,528.0,528.0,73.5999984741211,88.5999984741211,164.0,-0.13300000131130219,528.0
2.0339999198913574,1786229429000.0,0.0,73.4000015258789,82.0,162.0,529.0,1016.0800170898438,-6.363007966428995,106.8313311226666,529.0,529.0,73.4000015258789,88.5999984741211,164.0,-0.13099999725818634,529.0
1.996999979019165,1786229437000.0,0.0,72.5999984741211,80.0,163.0,537.0,1031.3399658203125,-6.3629127480089664,106.83123104274273,537.0,537.0,72.5999984741211,89.19999694824219,160.0,-0.09600000083446503,537.0
