directFractionalCadence,directUncorrectedElevation,directHeartRate,sumDuration,directCorrectedElevation,sumElapsedDuration,sumMovingDuration,directLatitude,directDoubleCadence,directElevation,directRunCadence,sumDistance,directTimestamp,directLongitude,directSpeed,directVerticalSpeed,elapsed_s
0.5,62.20000076293945,135.0,259.0,15.199999809265137,259.0,258.0,-6.225201264023781,157.0,15.199999809265137,78.0,519.5700073242188,1788656249000.0,106.80428808555007,1.6050000190734863,-0.27000001072883606,259.0
0.0,62.20000076293945,136.0,263.0,15.600000381469727,263.0,262.0,-6.225096825510263,154.0,15.600000381469727,77.0,532.22998046875,1788656253000.0,106.80434935726225,1.6890000104904175,0.11599999666213989,263.0
0.0,66.19999694824219,136.0,270.0,15.399999618530273,270.0,269.0,-6.2249363120645285,158.0,15.399999618530273,79.0,552.25,1788656260000.0,106.80445798672736,1.753999948501587,-0.028999999165534973,270.0
0.0,69.4000015258789,136.0,273.0,15.800000190734863,273.0,272.0,-6.224874202162027,158.0,15.800000190734863,79.0,560.260009765625,1788656263000.0,106.8045059312135,1.7730000019073486,0.13699999451637268,273.0
0.5,71.5999984741211,136.0,276.0,15.800000190734863,276.0,275.0,-6.224855426698923,155.0,15.800000190734863,77.0,564.7000122070312,1788656266000.0,106.80454180575907,1.7170000076293945,0.004000000189989805,276.0
0.0,72.80000305175781,134.0,280.0,15.800000190734863,280.0,279.0,-6.224843608215451,154.0,15.800000190734863,77.0,568.25,1788656270000.0,106.80457399226725,1.4930000305175781,-0.014999999664723873,280.0
0.5,71.19999694824219,135.0,288.0,16.0,288.0,287.0,-6.224781414493918,155.0,16.0,77.0,580.0900268554688,1788656278000.0,106.80466166697443,1.6330000162124634,0.032999999821186066,288.0
0.5,68.19999694824219,136.0,296.0,17.0,296.0,295.0,-6.224673204123974,157.0,17.0,78.0,594.2100219726562,1788656286000.0,106.8047461565584,1.6519999504089355,0.11900000274181366,296.0
0.5,68.0,134.0,300.0,17.200000762939453,300.0,299.0,-6.2246129382401705,155.0,17.200000762939453,77.0,602.5,1788656290000.0,106.80479502305388,1.6419999599456787,0.03999999910593033,300.0
0.0,69.4000015258789,132.0,305.0,16.600000381469727,305.0,304.0,-6.224610507488251,154.0,16.600000381469727,77.0,607.0800170898438,1788656295000.0,106.80484229698777,1.6050000190734863,-0.11800000071525574,305.0
0.0,70.19999694824219,133.0,306.0,16.200000762939453,306.0,305.0,-6.224613022059202,154.0,16.200000762939453,77.0,608.1300048828125,1788656296000.0,106.80485201999545,1.6050000190734863,-0.36899998784065247,306.0
0.5,73.80000305175781,135.0,311.0,13.800000190734863,311.0,310.0,-6.2246152851730585,161.0,13.800000190734863,80.0,616.3300170898438,1788656301000.0,106.80492846295238,1.6330000162124634,-0.5049999952316284,311.0
0.5,75.80000305175781,138.0,315.0,12.199999809265137,315.0,314.0,-6.224581254646182,161.0,12.199999809265137,80.0,624.9299926757812,1788656305000.0,106.8049980327487,1.6699999570846558,-0.3799999952316284,315.0
0.5,77.80000305175781,139.0,319.0,11.199999809265137,319.0,318.0,-6.224530125036836,165.0,11.199999809265137,82.0,634.3200073242188,1788656309000.0,106.80506584234536,1.7259999513626099,-0.27300000190734863,319.0
0.5,79.5999984741211,139.0,327.0,9.800000190734863,327.0,326.0,-6.224502380937338,163.0,9.800000190734863,81.0,649.8499755859375,1788656317000.0,106.80520934052765,1.902999997138977,-0.17000000178813934,327.0
0.5,79.0,141.0,331.0,10.199999809265137,331.0,330.0,-6.2244489043951035,161.0,10.199999809265137,80.0,658.8499755859375,1788656321000.0,106.80527061223984,1.996999979019165,0.12300000339746475,331.0
0.5,78.80000305175781,144.0,333.0,10.399999618530273,333.0,332.0,-6.224424513056874,161.0,10.399999618530273,80.0,663.2100219726562,1788656323000.0,106.80530020035803,2.0250000953674316,0.10400000214576721,333.0
0.5,78.19999694824219,145.0,337.0,11.800000190734863,337.0,336.0,-6.224311692640185,161.0,11.800000190734863,80.0,677.7899780273438,1788656327000.0,106.8053696025163,2.052999973297119,0.34599998593330383,337.0
0.5,77.5999984741211,146.0,343.0,13.600000381469727,343.0,342.0,-6.224212450906634,159.0,13.600000381469727,79.0,694.6500244140625,1788656333000.0,106.8054814171046,2.0810000896453857,0.3050000071525574,343.0
0.5,77.19999694824219,145.0,348.0,15.0,348.0,347.0,-6.224140115082264,159.0,15.0,79.0,705.6099853515625,1788656338000.0,106.80555031634867,2.0339999198913574,0.257999986410141,348.0
0.5,77.19999694824219,144.0,349.0,15.199999809265137,349.0,348.0,-6.224123686552048,159.0,15.199999809265137,79.0,707.6300048828125,1788656339000.0,106.80555962026119,1.996999979019165,0.27000001072883606,349.0
0.5,77.4000015258789,144.0,350.0,15.399999618530273,350.0,349.0,-6.224114885553718,161.0,15.399999618530273,80.0,709.8200073242188,1788656340000.0,106.80557730607688,1.996999979019165,0.1899999976158142,350.0
0.5,79.4000015258789,143.0,355.0,16.0,355.0,354.0,-6.224039951339364,163.0,16.0,81.0,722.7999877929688,1788656345000.0,106.80566372349858,2.015000104904175,0.13600000739097595,355.0
0.5,79.80000305175781,145.0,358.0,16.0,358.0,357.0,-6.224026791751385,161.0,16.0,80.0,727.5700073242188,1788656348000.0,106.80570093914866,2.0339999198913574,-0.028999999165534973,358.0
0.5,78.5999984741211,145.0,361.0,16.399999618530273,361.0,360.0,-6.224060319364071,159.0,16.399999618530273,79.0,730.5700073242188,1788656351000.0,106.80572608485818,2.015000104904175,0.13099999725818634,361.0
0.5,77.5999984741211,148.0,366.0,17.0,366.0,365.0,-6.224064761772752,161.0,17.0,80.0,737.239990234375,1788656356000.0,106.80579540319741,1.9869999885559082,0.10599999874830246,366.0
0.5,78.19999694824219,148.0,369.0,17.0,369.0,368.0,-6.224032491445541,161.0,17.0,80.0,743.0800170898438,1788656359000.0,106.80583639070392,1.9780000448226929,0.020999999716877937,369.0
0.5,78.19999694824219,148.0,377.0,16.399999618530273,377.0,376.0,-6.22392981313169,159.0,16.399999618530273,79.0,760.8599853515625,1788656367000.0,106.80596086196601,1.9780000448226929,-0.07599999755620956,377.0
0.0,77.0,148.0,379.0,16.0,379.0,378.0,-6.223917240276933,158.0,16.0,79.0,763.9000244140625,1788656369000.0,106.80598584003747,1.9780000448226929,-0.18000000715255737,379.0
