directRunCadence,directDoubleCadence,sumMovingDuration,sumDistance,directHeartRate,directCorrectedElevation,sumDuration,directUncorrectedElevation,directTimestamp,directFractionalCadence,directLatitude,directLongitude,sumElapsedDuration,directElevation,directSpeed,directVerticalSpeed,elapsed_s
83.0,166.0,77.0,122.08000183105469,137.0,80.0,150.0,98.80000305175781,1784592982000.0,0.0,-6.4286433812230825,106.89398484304547,150.0,80.0,2.2769999504089355,0.0430000014603138,150.0
82.0,165.0,79.0,128.17999267578125,137.0,79.80000305175781,152.0,99.4000015258789,1784592984000.0,0.5,-6.428584037348628,106.8939870223403,152.0,79.80000305175781,2.2950000762939453,-0.057999998331069946,152.0
82.0,165.0,83.0,137.39999389648438,140.0,80.0,156.0,100.0,1784592988000.0,0.5,-6.428501307964325,106.8940023612231,156.0,80.0,2.4260001182556152,0.03799999877810478,156.0
83.0,167.0,86.0,144.38999938964844,142.0,80.19999694824219,159.0,100.0,1784592991000.0,0.5,-6.428438946604729,106.8940166104585,159.0,80.19999694824219,2.3980000019073486,0.03400000184774399,159.0
82.0,165.0,93.0,159.67999267578125,143.0,80.5999984741211,166.0,98.80000305175781,1784592998000.0,0.5,-6.428310954943299,106.89407142810524,166.0,80.5999984741211,2.257999897003174,0.05400000140070915,166.0
83.0,167.0,100.0,177.6699981689453,142.0,79.80000305175781,173.0,96.5999984741211,1784593005000.0,0.5,-6.428151950240135,106.89411425963044,173.0,79.80000305175781,2.2300000190734863,-0.09600000083446503,173.0
81.0,162.0,104.0,186.55999755859375,142.0,79.5999984741211,177.0,95.4000015258789,1784593009000.0,0.0,-6.428075088188052,106.89410872757435,177.0,79.5999984741211,2.239000082015991,-0.07400000095367432,177.0
81.0,162.0,105.0,189.1199951171875,142.0,79.4000015258789,178.0,95.19999694824219,1784593010000.0,0.0,-6.428061006590724,106.8940903712064,178.0,79.4000015258789,2.239000082015991,-0.11699999868869781,178.0
84.0,168.0,113.0,210.0399932861328,145.0,78.4000015258789,186.0,96.5999984741211,1784593018000.0,0.0,-6.427981210872531,106.89391820691526,186.0,78.4000015258789,2.2669999599456787,-0.125,186.0
82.0,165.0,117.0,219.5399932861328,148.0,77.80000305175781,190.0,98.5999984741211,1784593022000.0,0.5,-6.427955394610763,106.89383656717837,190.0,77.80000305175781,2.305000066757202,-0.1469999998807907,190.0
82.0,164.0,122.0,231.97999572753906,150.0,78.0,195.0,100.19999694824219,1784593027000.0,0.0,-6.4278979785740376,106.89374688081443,195.0,78.0,2.3420000076293945,0.03099999949336052,195.0
81.0,162.0,126.0,239.97999572753906,151.0,78.4000015258789,199.0,102.5999984741211,1784593031000.0,0.0,-6.427848692983389,106.89378879033029,199.0,78.4000015258789,2.305000066757202,0.08900000154972076,199.0
82.0,164.0,132.0,250.85000610351562,151.0,78.4000015258789,205.0,105.19999694824219,1784593037000.0,0.0,-6.427854895591736,106.89388652332127,205.0,78.4000015258789,2.2769999504089355,-0.007000000216066837,205.0
81.0,162.0,133.0,253.24000549316406,151.0,78.4000015258789,206.0,105.80000305175781,1784593038000.0,0.0,-6.427862606942654,106.89390756189823,206.0,78.4000015258789,2.2669999599456787,0.04600000008940697,206.0
82.0,165.0,139.0,267.4599914550781,151.0,79.0,212.0,109.80000305175781,1784593044000.0,0.5,-6.427895212545991,106.89403186552227,212.0,79.0,2.2109999656677246,0.10899999737739563,212.0
82.0,164.0,144.0,276.8999938964844,152.0,79.0,217.0,112.4000015258789,1784593049000.0,0.0,-6.4278859086334705,106.89411593601108,217.0,79.0,2.239000082015991,0.0,217.0
82.0,164.0,145.0,278.7099914550781,153.0,79.0,218.0,112.5999984741211,1784593050000.0,0.0,-6.427878700196743,106.89413119107485,218.0,79.0,2.2300000190734863,0.0,218.0
82.0,164.0,149.0,287.010009765625,154.0,79.0,222.0,113.19999694824219,1784593054000.0,0.0,-6.427817260846496,106.89417217858136,222.0,79.0,2.2019999027252197,0.0,222.0
82.0,165.0,155.0,297.75,155.0,78.80000305175781,228.0,109.80000305175781,1784593060000.0,0.5,-6.427729418501258,106.89420855604112,228.0,78.80000305175781,2.1740000247955322,-0.017000000923871994,228.0
81.0,163.0,164.0,313.8900146484375,157.0,78.4000015258789,237.0,100.19999694824219,1784593069000.0,0.5,-6.427592374384403,106.89425582997501,237.0,78.4000015258789,2.118000030517578,-0.054999999701976776,237.0
82.0,165.0,173.0,333.3900146484375,156.0,77.5999984741211,246.0,96.19999694824219,1784593078000.0,0.5,-6.427429094910622,106.8943239748478,246.0,77.5999984741211,2.0899999141693115,-0.08399999886751175,246.0
82.0,165.0,179.0,345.6600036621094,156.0,77.19999694824219,252.0,95.19999694824219,1784593084000.0,0.5,-6.427321471273899,106.89434166066349,252.0,77.19999694824219,2.0989999771118164,-0.07500000298023224,252.0
81.0,163.0,184.0,355.8800048828125,160.0,77.0,257.0,95.19999694824219,1784593089000.0,0.5,-6.427233377471566,106.8943147547543,257.0,77.0,2.0989999771118164,-0.04399999976158142,257.0
80.0,160.0,188.0,362.94000244140625,159.0,76.80000305175781,261.0,95.5999984741211,1784593093000.0,0.0,-6.427169507369399,106.89431307837367,261.0,76.80000305175781,2.0899999141693115,-0.0560000017285347,261.0
79.0,158.0,196.0,376.260009765625,157.0,76.19999694824219,269.0,96.0,1784593101000.0,0.0,-6.427050149068236,106.89433126710355,269.0,76.19999694824219,2.052999973297119,-0.06199999898672104,269.0
79.0,159.0,207.0,395.2900085449219,157.0,75.80000305175781,280.0,96.0,1784593112000.0,0.5,-6.426878152415156,106.8943372182548,280.0,75.80000305175781,1.9589999914169312,-0.0430000014603138,280.0
