directTimestamp,directSpeed,directLatitude,sumDuration,directDoubleCadence,sumMovingDuration,directRunCadence,directElevation,sumDistance,directFractionalCadence,directHeartRate,sumElapsedDuration,directLongitude,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
1784773529000.0,1.3899999856948853,-6.425236891955137,276.0,114.0,267.0,57.0,81.4000015258789,471.3399963378906,0.0,148.0,300.0,106.8939801491797,107.80000305175781,81.4000015258789,0.032999999821186066,300.0
1784773530000.0,1.38100004196167,-6.425226666033268,277.0,114.0,268.0,57.0,81.5999984741211,472.7200012207031,0.0,148.0,301.0,106.8939727731049,107.80000305175781,81.5999984741211,0.18000000715255737,301.0
1784773537000.0,1.399999976158142,-6.425111331045628,284.0,159.0,275.0,79.0,83.4000015258789,487.20001220703125,0.5,149.0,308.0,106.8939106632024,107.0,83.4000015258789,0.2460000067949295,308.0
1784773538000.0,1.409000039100647,-6.425091549754143,285.0,159.0,276.0,79.0,83.5999984741211,489.5899963378906,0.5,152.0,309.0,106.89390169456601,106.80000305175781,83.5999984741211,0.2709999978542328,309.0
1784773539000.0,1.4459999799728394,-6.425062129274011,286.0,158.0,277.0,79.0,83.80000305175781,493.010009765625,0.0,149.0,310.0,106.89389063045382,106.80000305175781,83.80000305175781,0.28200000524520874,310.0
1784773545000.0,1.9129999876022339,-6.424942687153816,292.0,164.0,283.0,82.0,85.19999694824219,507.3500061035156,0.0,149.0,316.0,106.89383790828288,106.19999694824219,85.19999694824219,0.20999999344348907,316.0
1784773547000.0,2.0429999828338623,-6.424898011609912,294.0,164.0,285.0,82.0,85.80000305175781,513.0700073242188,0.0,153.0,318.0,106.89381108619273,105.19999694824219,85.80000305175781,0.38600000739097595,318.0
1784773550000.0,2.239000082015991,-6.424838667735457,297.0,164.0,288.0,82.0,86.80000305175781,520.5499877929688,0.0,155.0,321.0,106.8937782291323,104.19999694824219,86.80000305175781,0.3319999873638153,321.0
1784773554000.0,2.3329999446868896,-6.4247711934149265,301.0,164.0,292.0,82.0,88.0,528.9199829101562,0.0,158.0,325.0,106.89374344423413,103.5999984741211,88.0,0.2759999930858612,325.0
1784773559000.0,1.9869999885559082,-6.42471369355917,306.0,82.0,297.0,41.0,89.19999694824219,536.5599975585938,0.0,162.0,330.0,106.89370463602245,103.5999984741211,89.19999694824219,0.23100000619888306,330.0
1784773561000.0,1.6799999475479126,-6.424697432667017,308.0,82.0,299.0,41.0,89.5999984741211,538.8200073242188,0.0,163.0,332.0,106.89369223080575,103.80000305175781,89.5999984741211,0.20600000023841858,332.0
1784773567000.0,1.2970000505447388,-6.424643704667687,314.0,108.0,305.0,54.0,91.0,546.1799926757812,0.0,160.0,338.0,106.89365342259407,105.4000015258789,91.0,0.24500000476837158,338.0
1784773569000.0,1.2599999904632568,-6.42462283372879,316.0,108.0,307.0,54.0,91.5999984741211,548.9099731445312,0.0,161.0,340.0,106.89364043064415,106.4000015258789,91.5999984741211,0.2669999897480011,340.0
1784773577000.0,1.2690000534057617,-6.424552341923118,324.0,112.0,315.0,56.0,93.5999984741211,558.989990234375,0.0,160.0,348.0,106.89357999712229,109.0,93.5999984741211,0.25200000405311584,348.0
1784773581000.0,1.2690000534057617,-6.42451680265367,328.0,109.0,319.0,54.0,94.0,563.4500122070312,0.5,159.0,352.0,106.89355988055468,109.5999984741211,94.0,0.11800000071525574,352.0
1784773589000.0,1.2599999904632568,-6.424429630860686,336.0,108.0,327.0,54.0,95.0,573.8200073242188,0.0,159.0,360.0,106.89352408982813,110.4000015258789,95.0,0.12700000405311584,360.0
1784773595000.0,1.25,-6.42437607049942,342.0,109.0,333.0,54.0,95.80000305175781,582.1799926757812,0.5,160.0,366.0,106.89347078092396,113.19999694824219,95.80000305175781,0.11999999731779099,366.0
1784773597000.0,1.2599999904632568,-6.424350086599588,344.0,109.0,335.0,54.0,96.0,586.1799926757812,0.5,160.0,368.0,106.89344597049057,114.19999694824219,96.0,0.08900000154972076,368.0
1784773604000.0,1.4559999704360962,-6.424239445477724,351.0,160.0,342.0,80.0,96.19999694824219,601.4600219726562,0.0,159.0,375.0,106.89336273819208,117.0,96.19999694824219,0.04500000178813934,375.0
1784773610000.0,1.9500000476837158,-6.424150429666042,357.0,163.0,348.0,81.0,96.5999984741211,614.6099853515625,0.5,162.0,381.0,106.89328319393098,118.0,96.5999984741211,0.04800000041723251,381.0
1784773611000.0,2.00600004196167,-6.424133330583572,358.0,163.0,349.0,81.0,96.5999984741211,617.1400146484375,0.5,162.0,382.0,106.89326802268624,118.0,96.5999984741211,0.0989999994635582,382.0
1784773614000.0,2.062000036239624,-6.424071975052357,361.0,163.0,352.0,81.0,97.0,625.8499755859375,0.5,165.0,385.0,106.89321865327656,118.4000015258789,97.0,0.10899999737739563,385.0
1784773615000.0,2.127000093460083,-6.424053618684411,362.0,163.0,353.0,81.0,97.0,628.3200073242188,0.5,164.0,386.0,106.89320574514568,118.4000015258789,97.0,0.0,386.0
1784773617000.0,2.1549999713897705,-6.424013804644346,364.0,161.0,355.0,80.0,97.0,634.1199951171875,0.5,164.0,388.0,106.89317137934268,118.5999984741211,97.0,0.0,388.0
1784773622000.0,2.0899999141693115,-6.4239672012627125,369.0,161.0,360.0,80.0,97.0,640.530029296875,0.5,167.0,393.0,106.89313852228224,119.4000015258789,97.0,-0.01899999938905239,393.0
1784773623000.0,1.7450000047683716,-6.423960831016302,370.0,161.0,361.0,80.0,96.80000305175781,641.3499755859375,0.5,168.0,394.0,106.89313475042582,119.4000015258789,96.80000305175781,-0.014000000432133675,394.0
1784773628000.0,1.5399999618530273,-6.423947587609291,375.0,111.0,366.0,55.0,96.80000305175781,644.5,0.5,167.0,399.0,106.89311404712498,119.0,96.80000305175781,-0.014999999664723873,399.0
1784773636000.0,1.4179999828338623,-6.423865025863051,383.0,114.0,374.0,57.0,96.5999984741211,657.7100219726562,0.0,167.0,407.0,106.89302880316973,117.0,96.5999984741211,-0.03700000047683716,407.0
1784773644000.0,1.465000033378601,-6.423780368641019,391.0,107.0,382.0,53.0,96.5999984741211,668.3099975585938,0.5,164.0,415.0,106.89298412762582,116.19999694824219,96.5999984741211,0.017999999225139618,415.0
1784773653000.0,1.371999979019165,-6.423683054745197,400.0,0.0,391.0,0.0,96.80000305175781,681.4099731445312,0.0,164.0,424.0,106.8929177429527,119.0,96.80000305175781,0.012000000104308128,424.0
1784773660000.0,1.5959999561309814,-6.423582388088107,407.0,0.0,398.0,0.0,97.19999694824219,692.7000122070312,0.0,162.0,431.0,106.89292335882783,119.5999984741211,97.19999694824219,0.054999999701976776,431.0
1784773661000.0,1.5859999656677246,-6.423571743071079,408.0,0.0,399.0,0.0,97.19999694824219,694.1599731445312,0.0,161.0,432.0,106.89291556365788,119.4000015258789,97.19999694824219,0.009999999776482582,432.0
1784773667000.0,1.6519999504089355,-6.423444589599967,414.0,172.0,405.0,86.0,97.5999984741211,709.2999877929688,0.0,159.0,438.0,106.8928659427911,118.80000305175781,97.5999984741211,0.05900000035762787,438.0
1784773673000.0,3.1070001125335693,-6.42327519133687,420.0,175.0,411.0,87.0,98.0,729.0800170898438,0.5,161.0,444.0,106.8928088620305,118.80000305175781,98.0,0.07999999821186066,444.0
1784773679000.0,3.2939999103546143,-6.423092382028699,426.0,175.0,417.0,87.0,98.0,750.0800170898438,0.5,161.0,450.0,106.89276535995305,117.19999694824219,98.0,0.0,450.0
1784773681000.0,3.312000036239624,-6.423035468906164,428.0,175.0,419.0,87.0,98.0,756.4199829101562,0.5,162.0,452.0,106.89275882206857,116.5999984741211,98.0,0.0,452.0
1784773682000.0,3.312000036239624,-6.423017783090472,429.0,174.0,420.0,87.0,98.0,758.6900024414062,0.0,162.0,453.0,106.89277080819011,116.4000015258789,98.0,-0.05900000035762787,453.0
1784773683000.0,3.302999973297119,-6.423009401187301,430.0,172.0,421.0,86.0,98.0,760.8400268554688,0.0,163.0,454.0,106.89278908073902,116.19999694824219,98.0,-0.029999999329447746,454.0
1784773688000.0,1.968999981880188,-6.423017447814345,435.0,172.0,426.0,86.0,98.0,769.1599731445312,0.0,165.0,459.0,106.89286401495337,115.5999984741211,98.0,0.006000000052154064,459.0
1784773694000.0,1.8380000591278076,-6.4230412524193525,441.0,0.0,432.0,0.0,98.19999694824219,778.6799926757812,0.0,167.0,465.0,106.89294833689928,116.80000305175781,98.19999694824219,0.04699999839067459,465.0
1784773699000.0,1.6519999504089355,-6.423075199127197,446.0,110.0,437.0,55.0,98.4000015258789,787.0700073242188,0.0,166.0,470.0,106.89301555976272,118.80000305175781,98.4000015258789,0.04800000041723251,470.0
1784773701000.0,1.6330000162124634,-6.4230963215231895,448.0,110.0,439.0,55.0,98.4000015258789,789.489990234375,0.0,165.0,472.0,106.89301983453333,119.80000305175781,98.4000015258789,0.00800000037997961,472.0
1784773706000.0,1.6239999532699585,-6.423151139169931,453.0,0.0,444.0,0.0,98.4000015258789,795.719970703125,0.0,162.0,477.0,106.8930247798562,122.0,98.4000015258789,0.004000000189989805,477.0
1784773709000.0,1.6330000162124634,-6.423188941553235,456.0,0.0,447.0,0.0,98.4000015258789,799.9099731445312,0.0,159.0,480.0,106.89302352257073,122.19999694824219,98.4000015258789,-0.0020000000949949026,480.0
1784773714000.0,1.5959999561309814,-6.423247447237372,461.0,119.0,452.0,59.0,98.4000015258789,806.5599975585938,0.5,156.0,485.0,106.89301002770662,122.19999694824219,98.4000015258789,-0.009999999776482582,485.0
1784773716000.0,1.5859999656677246,-6.423273431137204,463.0,113.0,454.0,56.0,98.4000015258789,809.510009765625,0.5,156.0,487.0,106.89301664941013,121.80000305175781,98.4000015258789,0.012000000104308128,487.0
1784773720000.0,1.5490000247955322,-6.423317771404982,467.0,105.0,458.0,52.0,98.4000015258789,814.5800170898438,0.5,155.0,491.0,106.89302771352232,121.19999694824219,98.4000015258789,0.004999999888241291,491.0
1784773722000.0,1.5299999713897705,-6.423337804153562,469.0,0.0,460.0,0.0,98.4000015258789,816.8800048828125,0.0,154.0,493.0,106.89303383231163,121.0,98.4000015258789,-0.02500000037252903,493.0
1784773724000.0,1.5119999647140503,-6.423354987055063,471.0,0.0,462.0,0.0,98.4000015258789,818.760009765625,0.0,154.0,495.0,106.89303441904485,121.0,98.4000015258789,-0.029999999329447746,495.0
