directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
76.0,203.47000122070312,0.5,1.4559999704360962,130.0,-1.277086716145277,5.599999904632568,153.0,131.0,116.83936499990523,5.599999904632568,131.0,23.399999618530273,126.0,1785540326000.0,0.08900000154972076,131.0
77.0,204.8300018310547,0.5,1.4559999704360962,131.0,-1.277089063078165,5.599999904632568,155.0,132.0,116.8393530137837,5.599999904632568,132.0,23.200000762939453,126.0,1785540327000.0,0.07800000160932541,132.0
77.0,208.99000549316406,0.5,1.437000036239624,134.0,-1.2770944274961948,5.800000190734863,155.0,135.0,116.83931596577168,5.800000190734863,135.0,22.200000762939453,126.0,1785540330000.0,0.0689999982714653,135.0
76.0,211.47000122070312,0.5,1.4279999732971191,136.0,-1.27710054628551,5.800000190734863,153.0,137.0,116.83929467573762,5.800000190734863,137.0,21.200000762939453,126.0,1785540332000.0,0.03799999877810478,137.0
76.0,212.63999938964844,0.5,1.4279999732971191,137.0,-1.2771024741232395,6.0,153.0,138.0,116.83928428217769,6.0,138.0,21.0,125.0,1785540333000.0,0.03700000047683716,138.0
75.0,219.6300048828125,0.0,1.409000039100647,143.0,-1.2771035637706518,6.199999809265137,150.0,144.0,116.83922083117068,6.199999809265137,144.0,19.799999237060547,125.0,1785540339000.0,0.06199999898672104,144.0
75.0,221.83999633789062,0.0,1.399999976158142,145.0,-1.277102893218398,6.400000095367432,150.0,146.0,116.839200546965,6.400000095367432,146.0,19.600000381469727,124.0,1785540341000.0,0.0729999989271164,146.0
75.0,224.97999572753906,0.0,1.371999979019165,148.0,-1.2770945113152266,6.599999904632568,150.0,149.0,116.83917129412293,6.599999904632568,149.0,19.799999237060547,123.0,1785540344000.0,0.07000000029802322,149.0
77.0,235.16000366210938,0.5,1.343999981880188,155.0,-1.2770869676023722,7.400000095367432,155.0,156.0,116.83907054364681,7.400000095367432,156.0,23.399999618530273,123.0,1785540351000.0,0.10400000214576721,156.0
76.0,247.0800018310547,0.0,1.3250000476837158,164.0,-1.2771111074835062,8.0,152.0,165.0,116.83896602131426,8.0,165.0,25.0,123.0,1785540360000.0,0.07000000029802322,165.0
77.0,260.010009765625,0.5,1.3250000476837158,172.0,-1.2771478202193975,8.0,155.0,173.0,116.83885571546853,8.0,173.0,23.600000381469727,123.0,1785540368000.0,0.0,173.0
75.0,273.8299865722656,0.0,1.3619999885559082,180.0,-1.2771584652364254,8.0,150.0,181.0,116.83873225003481,8.0,181.0,23.200000762939453,124.0,1785540376000.0,0.0,181.0
74.0,275.3399963378906,0.0,1.3619999885559082,181.0,-1.277157124131918,8.0,148.0,182.0,116.83871758170426,8.0,182.0,23.399999618530273,124.0,1785540377000.0,0.0,182.0
76.0,280.55999755859375,0.0,1.371999979019165,186.0,-1.2771601416170597,8.0,152.0,187.0,116.83867014013231,8.0,187.0,24.799999237060547,125.0,1785540382000.0,0.0,187.0
74.0,285.67999267578125,0.0,1.3250000476837158,192.0,-1.2771430425345898,8.0,148.0,193.0,116.83862772770226,8.0,193.0,26.200000762939453,123.0,1785540388000.0,0.0,193.0
75.0,287.5799865722656,0.0,1.315999984741211,194.0,-1.277142707258463,8.0,150.0,195.0,116.83860928751528,8.0,195.0,26.399999618530273,121.0,1785540390000.0,0.0,195.0
75.0,289.8800048828125,0.0,1.2970000505447388,196.0,-1.277141785249114,8.0,150.0,197.0,116.83858833275735,8.0,197.0,26.600000381469727,120.0,1785540392000.0,0.0,197.0
75.0,295.3999938964844,0.0,1.2690000534057617,200.0,-1.277136504650116,8.0,150.0,201.0,116.83854022063315,8.0,201.0,26.799999237060547,121.0,1785540396000.0,0.0,201.0
76.0,301.17999267578125,0.0,1.2599999904632568,204.0,-1.2771074194461107,8.0,152.0,205.0,116.83849822729826,8.0,205.0,29.399999618530273,122.0,1785540400000.0,0.0,205.0
77.0,305.2900085449219,0.5,1.2690000534057617,207.0,-1.27711177803576,7.800000190734863,155.0,208.0,116.83845992200077,7.800000190734863,208.0,32.20000076293945,123.0,1785540403000.0,-0.03799999877810478,208.0
77.0,306.8699951171875,0.5,1.2690000534057617,208.0,-1.2771138735115528,7.800000190734863,155.0,209.0,116.8384457565844,7.800000190734863,209.0,32.79999923706055,123.0,1785540404000.0,-0.08699999749660492,209.0
77.0,308.5199890136719,0.5,1.2690000534057617,209.0,-1.277115298435092,7.599999904632568,155.0,210.0,116.83842941187322,7.599999904632568,210.0,33.20000076293945,122.0,1785540405000.0,-0.10700000077486038,210.0
76.0,314.760009765625,0.5,1.277999997138977,213.0,-1.2771247699856758,7.800000190734863,153.0,214.0,116.83837006799877,7.800000190734863,214.0,34.0,121.0,1785540409000.0,0.013000000268220901,214.0
76.0,315.7799987792969,0.5,1.277999997138977,214.0,-1.277126781642437,7.800000190734863,153.0,215.0,116.83836109936237,7.800000190734863,215.0,34.0,120.0,1785540410000.0,0.014000000432133675,215.0
76.0,316.5799865722656,0.0,1.277999997138977,217.0,-1.2771318946033716,7.800000190734863,152.0,218.0,116.83834249153733,7.800000190734863,218.0,33.0,120.0,1785540413000.0,0.012000000104308128,218.0
76.0,322.989990234375,0.0,1.25,223.0,-1.2771469820290804,8.0,152.0,224.0,116.83828013017774,8.0,224.0,31.200000762939453,121.0,1785540419000.0,0.017999999225139618,224.0
78.0,335.6400146484375,0.0,1.222000002861023,230.0,-1.2771484907716513,8.0,156.0,231.0,116.838153982535,8.0,231.0,28.600000381469727,118.0,1785540426000.0,0.0020000000949949026,231.0
