sumElapsedDuration,directSpeed,directUncorrectedElevation,directTimestamp,sumDuration,directRunCadence,directCorrectedElevation,directLatitude,directDoubleCadence,directElevation,directLongitude,sumDistance,directFractionalCadence,directHeartRate,sumMovingDuration,directVerticalSpeed,elapsed_s
1693.0,1.5019999742507935,108.4000015258789,1787702121000.0,1693.0,77.0,97.80000305175781,-6.435116305947304,154.0,97.80000305175781,106.89135049469769,2861.659912109375,0.0,129.0,1693.0,0.1679999977350235,1693.0
1703.0,1.6050000190734863,107.4000015258789,1787702131000.0,1703.0,77.0,98.80000305175781,-6.435049083083868,155.0,98.80000305175781,106.89147999510169,2877.97998046875,0.5,131.0,1703.0,0.0989999994635582,1703.0
1707.0,1.6050000190734863,107.0,1787702135000.0,1707.0,75.0,98.4000015258789,-6.435006000101566,150.0,98.4000015258789,106.89151343889534,2884.0,0.0,134.0,1707.0,-0.06300000101327896,1707.0
1708.0,1.5959999561309814,106.80000305175781,1787702136000.0,1708.0,75.0,98.4000015258789,-6.4349973667413,150.0,98.4000015258789,106.89152316190302,2885.3798828125,0.0,134.0,1708.0,-0.05400000140070915,1708.0
1710.0,1.5859999656677246,106.80000305175781,1787702138000.0,1710.0,75.0,98.4000015258789,-6.434977166354656,150.0,98.4000015258789,106.89154277555645,2888.409912109375,0.0,134.0,1710.0,-0.04899999871850014,1710.0
1715.0,1.5679999589920044,107.19999694824219,1787702143000.0,1715.0,73.0,98.4000015258789,-6.434930814430118,146.0,98.4000015258789,106.89158770255744,2895.4599609375,0.0,133.0,1715.0,0.03099999949336052,1715.0
1716.0,1.5679999589920044,107.4000015258789,1787702144000.0,1716.0,72.0,98.4000015258789,-6.434919331222773,144.0,98.4000015258789,106.89159692265093,2897.080078125,0.0,133.0,1716.0,0.02500000037252903,1716.0
1725.0,1.5299999713897705,109.5999984741211,1787702153000.0,1725.0,73.0,98.80000305175781,-6.434815311804414,147.0,98.80000305175781,106.89167931675911,2911.6298828125,0.5,131.0,1725.0,0.024000000208616257,1725.0
1734.0,1.4930000305175781,111.5999984741211,1787702162000.0,1734.0,71.0,98.80000305175781,-6.434736689552665,143.0,98.80000305175781,106.89174360595644,2922.580078125,0.5,131.0,1734.0,0.019999999552965164,1734.0
1735.0,1.4839999675750732,111.5999984741211,1787702163000.0,1735.0,70.0,99.0,-6.434726631268859,141.0,99.0,106.89175207167864,2924.030029296875,0.5,131.0,1735.0,0.01899999938905239,1735.0
